m,m3,coco,coco_pct
7,2,4.0,0.019
4,1,2.0,0.589
8,1,8.0,0.005
9,3,1.0,0.103
3,2,7.0,0.055
2,2,2.0,0.423
5,3,12.0,0.0
5,2,1.0,0.098
3,3,18.0,0.0
7,3,12.0,0.0
3,1,18.0,0.0
3,2,25.0,0.0
8,2,3.0,0.169
2,2,18.0,0.0
10,2,18.0,0.002
11,3,7.0,0.042
4,2,17.0,0.001
4,3,7.0,0.072
11,3,8.0,0.02
5,1,7.0,0.033
5,3,4.0,0.043
5,1,12.0,0.0
3,2,18.0,0.0
8,3,7.0,0.035
5,1,2.0,0.592
5,1,4.0,0.063
7,2,9.0,0.0
1,2,18.0,0.0
12,3,18.0,0.0
12,2,12.0,0.0
10,1,4.0,0.041
5,1,17.0,0.001
5,1,3.0,0.204
6,1,3.0,0.25
4,1,18.0,0.0
7,1,9.0,0.0
9,1,9.0,0.005
4,3,12.0,0.0
2,2,4.0,0.099
10,2,17.0,0.001
7,3,25.0,0.0
9,1,7.0,0.041
7,3,18.0,0.004
11,2,26.0,0.0
2,3,3.0,0.207
4,1,9.0,0.0
11,2,1.0,0.091
11,1,5.0,0.008
3,2,9.0,0.007
1,2,26.0,0.0
3,2,5.0,0.044
5,3,2.0,0.616
2,3,17.0,0.001
5,1,5.0,0.018
7,3,14.0,0.0
3,2,14.0,0.0
4,3,26.0,0.0
10,1,5.0,0.002
5,3,25.0,0.001
8,1,2.0,0.595
10,2,25.0,0.009
2,2,9.0,0.0
10,3,9.0,0.018
8,2,2.0,0.597
3,1,8.0,0.01
6,1,7.0,0.053
4,2,18.0,0.003
4,2,7.0,0.072
2,3,9.0,0.0
4,1,8.0,0.011
4,2,1.0,0.146
4,2,5.0,0.005
6,3,15.0,0.0
9,1,8.0,0.007
3,3,3.0,0.223
2,2,7.0,0.016
6,3,12.0,0.0
4,3,25.0,0.002
10,3,25.0,0.005
1,2,3.0,0.11
11,3,12.0,0.0
6,3,18.0,0.003
10,1,1.0,0.126
10,1,15.0,0.0
6,2,14.0,0.0
5,1,1.0,0.08
12,2,4.0,0.107
4,2,9.0,0.008
5,3,9.0,0.004
9,2,26.0,0.0
6,2,15.0,0.0
1,3,15.0,0.0
2,2,14.0,0.0
9,1,5.0,0.001
9,1,3.0,0.263
6,2,2.0,0.545
11,3,25.0,0.002
3,1,7.0,0.05
3,1,17.0,0.003
7,3,17.0,0.0
7,3,2.0,0.548
5,3,26.0,0.0
10,2,2.0,0.491
6,3,4.0,0.024
6,1,4.0,0.053
2,2,12.0,0.0
12,1,25.0,0.0
6,2,26.0,0.001
9,3,4.0,0.042
12,1,26.0,0.0
10,1,7.0,0.033
6,2,9.0,0.0
4,1,25.0,0.001
1,1,14.0,0.0
1,3,12.0,0.0
7,1,18.0,0.003
8,2,4.0,0.018
6,2,8.0,0.009
1,1,25.0,0.0
12,1,12.0,0.0
10,1,2.0,0.605
4,3,18.0,0.0
12,3,7.0,0.003
3,3,14.0,0.0
3,2,4.0,0.092
1,3,14.0,0.0
3,3,17.0,0.0
3,3,8.0,0.01
4,2,3.0,0.188
10,2,12.0,0.0
9,3,5.0,0.001
8,2,12.0,0.0
7,1,14.0,0.0
4,3,4.0,0.111
8,3,2.0,0.625
9,2,14.0,0.0
11,3,18.0,0.002
11,1,12.0,0.0
3,3,25.0,0.001
7,1,3.0,0.116
11,2,2.0,0.499
11,1,4.0,0.086
7,2,12.0,0.0
4,1,4.0,0.065
9,1,15.0,0.0
3,2,15.0,0.0
1,1,12.0,0.001
4,2,15.0,0.0
11,2,5.0,0.02
1,3,1.0,0.258
9,2,4.0,0.052
12,1,17.0,0.0
1,1,1.0,0.301
12,1,4.0,0.139
6,2,5.0,0.006
11,1,25.0,0.002
12,3,2.0,0.471
2,1,8.0,0.013
12,2,15.0,0.0
3,1,1.0,0.118
12,1,14.0,0.0
3,3,9.0,0.0
11,3,1.0,0.102
2,1,18.0,0.003
5,3,8.0,0.01
2,3,8.0,0.007
3,3,7.0,0.081
1,3,3.0,0.12
4,3,15.0,0.0
6,1,25.0,0.002
6,1,15.0,0.0
1,3,5.0,0.028
12,2,1.0,0.189
2,2,3.0,0.139
11,1,2.0,0.553
1,2,1.0,0.288
6,1,17.0,0.005
1,1,18.0,0.0
7,2,17.0,0.002
7,2,7.0,0.001
1,3,7.0,0.022
9,2,1.0,0.121
12,3,25.0,0.0
2,3,25.0,0.0
2,1,9.0,0.01
10,1,17.0,0.001
10,2,14.0,0.0
2,1,7.0,0.043
2,2,25.0,0.0
10,3,8.0,0.027
9,1,12.0,0.0
6,3,3.0,0.152
2,1,1.0,0.256
11,1,26.0,0.0
1,1,7.0,0.038
3,2,3.0,0.153
10,1,8.0,0.013
12,2,14.0,0.0
2,1,3.0,0.126
11,1,14.0,0.0
1,2,17.0,0.0
8,2,5.0,0.0
5,2,12.0,0.0
8,3,1.0,0.12
1,2,7.0,0.027
1,1,5.0,0.025
5,1,26.0,0.001
12,2,5.0,0.033
6,2,4.0,0.052
11,3,15.0,0.0
5,3,14.0,0.0
9,1,14.0,0.0
2,2,26.0,0.0
4,2,14.0,0.0
8,1,12.0,0.0
6,3,9.0,0.0
7,1,8.0,0.008
3,1,25.0,0.0
1,1,2.0,0.37
7,2,14.0,0.0
11,1,17.0,0.002
6,1,1.0,0.056
8,3,4.0,0.041
5,3,7.0,0.04
5,1,25.0,0.0
2,3,26.0,0.0
1,3,18.0,0.003
9,3,2.0,0.676
2,3,18.0,0.0
3,3,26.0,0.001
5,2,18.0,0.001
10,3,18.0,0.012
3,2,1.0,0.106
5,3,18.0,0.001
12,1,1.0,0.092
12,2,7.0,0.051
4,1,15.0,0.0
5,1,15.0,0.0
10,3,2.0,0.464
1,2,9.0,0.008
1,3,25.0,0.003
2,3,7.0,0.03
10,1,9.0,0.003
9,2,2.0,0.507
10,1,3.0,0.175
1,3,2.0,0.469
12,2,9.0,0.0
2,3,12.0,0.0
5,2,7.0,0.054
9,2,12.0,0.0
10,3,17.0,0.002
6,3,17.0,0.001
1,3,8.0,0.01
7,1,12.0,0.0
4,2,4.0,0.091
6,2,1.0,0.13
4,2,26.0,0.0
11,2,7.0,0.055
7,3,4.0,0.016
9,3,7.0,0.027
6,2,25.0,0.001
9,1,26.0,0.001
12,2,18.0,0.001
11,1,9.0,0.002
8,3,8.0,0.004
4,2,8.0,0.023
9,3,14.0,0.0
12,1,7.0,0.032
1,2,14.0,0.0
3,1,15.0,0.0
6,1,9.0,0.0
4,1,1.0,0.097
7,1,4.0,0.024
8,2,26.0,0.0
2,1,4.0,0.06
1,1,3.0,0.128
12,2,3.0,0.147
1,2,2.0,0.444
5,2,8.0,0.008
12,3,26.0,0.0
4,1,14.0,0.0
9,1,4.0,0.056
7,2,25.0,0.001
10,2,9.0,0.006
8,3,14.0,0.0
12,3,17.0,0.0
12,3,9.0,0.0
8,1,25.0,0.002
8,2,14.0,0.0
2,3,2.0,0.339
11,1,1.0,0.123
4,3,14.0,0.0
9,2,18.0,0.003
12,3,3.0,0.097
10,3,3.0,0.178
11,3,3.0,0.177
8,1,7.0,0.002
1,1,26.0,0.0
2,1,5.0,0.038
6,3,8.0,0.0
6,3,14.0,0.0
11,2,9.0,0.0
8,2,15.0,0.0
5,2,14.0,0.0
11,2,12.0,0.0
7,3,15.0,0.0
8,1,26.0,0.0
9,3,15.0,0.0
5,1,14.0,0.0
2,1,17.0,0.004
3,1,3.0,0.228
3,3,5.0,0.017
5,2,17.0,0.001
4,1,17.0,0.001
8,1,14.0,0.0
12,1,2.0,0.579
2,1,14.0,0.0
8,1,4.0,0.018
7,3,8.0,0.0
6,1,14.0,0.0
11,2,4.0,0.109
8,1,18.0,0.001
6,2,12.0,0.0
4,3,2.0,0.384
2,3,14.0,0.002
10,2,15.0,0.0
5,2,15.0,0.0
7,2,5.0,0.001
10,2,7.0,0.037
12,3,4.0,0.099
9,2,7.0,0.041
2,1,2.0,0.447
10,1,26.0,0.0
5,2,9.0,0.0
3,2,12.0,0.0
8,2,18.0,0.008
7,1,5.0,0.0
8,1,17.0,0.0
3,1,2.0,0.46
9,3,17.0,0.002
3,1,14.0,0.0
1,2,8.0,0.009
9,2,25.0,0.005
6,3,1.0,0.22
12,2,25.0,0.0
7,2,2.0,0.573
11,3,2.0,0.516
6,3,2.0,0.583
9,1,25.0,0.006
6,2,18.0,0.006
10,1,18.0,0.001
5,1,8.0,0.005
1,3,26.0,0.001
1,3,9.0,0.002
4,2,25.0,0.001
2,3,1.0,0.261
10,3,5.0,0.009
11,3,9.0,0.002
10,1,14.0,0.0
10,2,4.0,0.061
4,1,26.0,0.0
4,3,1.0,0.029
6,1,5.0,0.002
11,3,14.0,0.0
5,3,17.0,0.0
10,3,26.0,0.001
7,2,26.0,0.0
1,1,9.0,0.0
2,2,8.0,0.001
2,3,15.0,0.001
2,1,15.0,0.0
8,2,25.0,0.007
8,3,9.0,0.001
11,1,15.0,0.0
9,2,8.0,0.02
7,1,1.0,0.298
3,3,12.0,0.0
8,3,26.0,0.002
5,2,26.0,0.0
4,2,2.0,0.462
9,3,3.0,0.123
10,3,4.0,0.062
9,3,9.0,0.001
3,1,9.0,0.0
11,3,17.0,0.0
7,2,3.0,0.09
5,1,9.0,0.005
9,1,17.0,0.002
2,2,1.0,0.26
7,2,15.0,0.0
6,1,8.0,0.006
10,2,26.0,0.0
11,3,4.0,0.128
11,2,17.0,0.001
9,2,9.0,0.005
8,3,17.0,0.0
1,2,15.0,0.0
1,1,17.0,0.0
10,1,12.0,0.0
4,1,7.0,0.04
12,3,1.0,0.286
6,3,5.0,0.004
12,2,2.0,0.458
7,3,5.0,0.0
11,1,8.0,0.02
2,1,12.0,0.0
4,3,8.0,0.015
7,3,3.0,0.134
5,3,15.0,0.0
8,1,1.0,0.261
2,2,5.0,0.064
2,2,17.0,0.0
7,1,15.0,0.0
2,1,26.0,0.0
7,1,17.0,0.001
10,2,1.0,0.098
7,1,2.0,0.531
5,3,5.0,0.009
3,3,15.0,0.0
9,2,5.0,0.001
2,1,25.0,0.0
11,1,3.0,0.14
1,2,5.0,0.013
12,1,18.0,0.001
5,2,5.0,0.014
10,3,12.0,0.0
5,3,3.0,0.217
10,3,14.0,0.0
10,3,15.0,0.0
1,1,8.0,0.015
6,2,7.0,0.032
3,2,2.0,0.535
1,2,4.0,0.102
8,3,25.0,0.004
7,1,25.0,0.001
8,2,9.0,0.0
12,2,26.0,0.0
4,3,9.0,0.008
8,3,18.0,0.007
9,2,17.0,0.002
12,1,8.0,0.007
12,1,15.0,0.0
12,3,5.0,0.044
1,1,4.0,0.124
6,3,7.0,0.014
7,3,26.0,0.0
11,1,7.0,0.059
1,2,25.0,0.0
4,3,5.0,0.017
9,3,18.0,0.003
10,2,3.0,0.266
6,1,12.0,0.0
3,1,12.0,0.0
10,2,5.0,0.002
3,2,17.0,0.0
10,3,1.0,0.154
7,1,7.0,0.017
12,2,17.0,0.0
3,3,2.0,0.401
9,1,1.0,0.103
2,3,5.0,0.053
7,2,8.0,0.002
4,1,12.0,0.0
11,2,18.0,0.001
7,2,18.0,0.0
10,2,8.0,0.027
5,2,4.0,0.056
8,3,15.0,0.0
6,2,3.0,0.218
