m,coco,coco_pct
3,9.0,0.017
3,21.0,0.0
2,1.0,0.312
5,23.0,0.0
5,3.0,0.074
1,7.0,0.035
1,4.0,0.037
5,17.0,0.001
3,23.0,0.0
3,7.0,0.076
7,26.0,0.0
7,17.0,0.0
1,25.0,0.001
8,2.0,0.275
2,18.0,0.0
11,5.0,0.023
10,1.0,0.282
5,4.0,0.012
5,2.0,0.453
3,3.0,0.17
7,9.0,0.0
12,21.0,0.0
1,23.0,0.0
4,18.0,0.002
11,18.0,0.001
3,18.0,0.001
7,2.0,0.161
9,9.0,0.001
10,8.0,0.015
10,7.0,0.031
5,26.0,0.0
12,18.0,0.001
1,5.0,0.021
11,7.0,0.036
6,23.0,0.0
9,8.0,0.004
1,2.0,0.427
4,25.0,0.002
10,25.0,0.005
1,8.0,0.016
6,26.0,0.0
12,2.0,0.445
7,23.0,0.0
10,21.0,0.0
2,2.0,0.427
7,1.0,0.791
11,2.0,0.493
5,25.0,0.001
7,7.0,0.0
2,25.0,0.0
12,9.0,0.005
11,23.0,0.0
3,17.0,0.004
4,9.0,0.006
11,9.0,0.008
11,4.0,0.03
9,25.0,0.002
7,4.0,0.008
5,18.0,0.002
8,17.0,0.0
8,1.0,0.653
4,1.0,0.259
8,25.0,0.001
2,3.0,0.171
2,9.0,0.006
6,5.0,0.004
9,23.0,0.0
11,25.0,0.0
7,18.0,0.0
1,21.0,0.0
1,18.0,0.001
11,26.0,0.0
12,8.0,0.014
8,8.0,0.0
9,18.0,0.0
5,1.0,0.422
8,3.0,0.054
12,1.0,0.283
4,8.0,0.015
4,23.0,0.0
3,1.0,0.251
12,5.0,0.024
10,5.0,0.009
2,21.0,0.0
4,26.0,0.0
10,23.0,0.0
1,26.0,0.001
4,5.0,0.006
10,4.0,0.024
11,21.0,0.0
3,2.0,0.395
11,1.0,0.251
12,4.0,0.032
9,3.0,0.124
9,5.0,0.007
1,9.0,0.002
6,1.0,0.583
2,17.0,0.001
4,17.0,0.004
7,3.0,0.034
5,5.0,0.005
6,4.0,0.007
7,21.0,0.0
8,9.0,0.0
11,8.0,0.01
1,17.0,0.003
12,17.0,0.001
12,26.0,0.0
6,8.0,0.001
11,17.0,0.004
9,1.0,0.36
5,8.0,0.006
3,4.0,0.04
10,9.0,0.005
5,7.0,0.022
9,21.0,0.0
2,5.0,0.016
5,9.0,0.002
12,7.0,0.042
5,21.0,0.0
10,17.0,0.003
12,25.0,0.0
9,2.0,0.459
6,7.0,0.012
2,26.0,0.0
12,3.0,0.154
6,9.0,0.0
2,7.0,0.021
10,18.0,0.002
10,2.0,0.481
6,17.0,0.0
9,4.0,0.023
9,26.0,0.0
12,23.0,0.0
1,3.0,0.179
6,25.0,0.001
11,3.0,0.145
10,26.0,0.0
6,2.0,0.336
6,3.0,0.054
7,8.0,0.0
1,1.0,0.278
3,8.0,0.033
3,25.0,0.001
4,4.0,0.035
6,21.0,0.0
2,23.0,0.0
4,2.0,0.446
8,7.0,0.0
8,26.0,0.0
10,3.0,0.142
8,21.0,0.0
4,7.0,0.047
2,8.0,0.007
4,3.0,0.178
9,17.0,0.0
9,7.0,0.019
8,4.0,0.01
6,18.0,0.001
8,23.0,0.0
2,4.0,0.038
3,5.0,0.013
7,5.0,0.006
8,5.0,0.005
8,18.0,0.001
4,21.0,0.0
7,25.0,0.0
3,26.0,0.0
