m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,7.4,11.6,18.1,14.5,2.0,0.2,10.0
1,2,7.8,11.9,17.2,16.1,2.0,0.21,7.0
1,3,9.5,13.8,18.8,15.7,2.0,0.21,7.0
2,1,8.1,12.7,18.3,15.4,1.0,0.14,1.0
2,2,10.2,14.1,19.1,15.2,1.0,0.06,0.0
2,3,10.2,13.8,19.0,15.2,1.0,0.16,2.0
3,1,10.5,15.0,20.4,14.1,3.0,0.3,10.0
3,2,11.2,15.4,20.6,14.9,3.0,0.29,12.0
3,3,11.7,15.0,20.3,14.7,4.0,0.39,42.0
4,1,11.9,15.7,20.7,13.3,2.0,0.19,4.0
4,2,12.8,17.0,22.3,14.2,2.0,0.17,7.0
4,3,13.3,17.6,23.4,12.3,3.0,0.29,11.0
5,1,15.3,19.4,24.9,14.1,1.0,0.14,4.0
5,2,15.5,19.8,25.5,15.3,1.0,0.1,0.0
5,3,16.4,21.2,26.4,13.0,2.0,0.15,1.0
6,1,18.5,22.4,28.0,14.1,1.0,0.08,0.0
6,2,19.7,24.1,29.8,14.7,1.0,0.07,0.0
6,3,20.2,24.5,30.1,13.5,0.0,0.03,0.0
7,1,21.7,25.5,31.6,14.0,0.0,0.01,0.0
7,2,22.4,26.3,32.1,13.3,0.0,0.0,0.0
7,3,22.8,26.7,32.0,13.6,0.0,0.03,0.0
8,1,23.4,27.4,33.2,13.1,0.0,0.03,0.0
8,2,23.6,27.2,32.9,13.3,0.0,0.01,0.0
8,3,22.8,26.0,31.3,11.6,0.0,0.04,0.0
9,1,22.1,25.4,31.0,13.1,1.0,0.12,3.0
9,2,20.9,24.0,29.0,11.4,2.0,0.19,4.0
9,3,19.8,23.4,28.5,13.7,1.0,0.06,0.0
10,1,17.5,21.5,27.5,12.3,1.0,0.07,1.0
10,2,15.6,20.0,25.3,12.0,3.0,0.3,8.0
10,3,14.9,19.1,23.5,12.3,3.0,0.23,11.0
11,1,13.5,17.5,22.6,14.9,1.0,0.14,1.0
11,2,12.4,16.4,21.4,13.7,3.0,0.29,6.0
11,3,10.6,14.7,20.0,15.1,2.0,0.23,12.0
12,1,10.4,14.2,19.3,14.7,3.0,0.29,3.0
12,2,10.4,14.0,18.5,15.7,2.0,0.2,3.0
12,3,7.8,12.5,19.3,13.1,1.0,0.06,0.0
