m,m3,coco,coco_pct
11,3,25.0,0.001
8,3,26.0,0.0
8,2,17.0,0.0
5,1,21.0,0.0
12,2,7.0,0.061
11,3,8.0,0.018
7,2,8.0,0.0
6,1,17.0,0.0
2,1,26.0,0.0
3,2,17.0,0.002
11,2,1.0,0.237
7,3,21.0,0.0
8,1,8.0,0.0
4,3,1.0,0.207
3,2,2.0,0.398
12,1,7.0,0.045
12,2,1.0,0.2
6,2,18.0,0.0
11,1,18.0,0.001
4,3,26.0,0.0
9,1,21.0,0.0
9,1,23.0,0.0
4,1,5.0,0.008
7,1,1.0,0.811
2,3,2.0,0.394
5,1,2.0,0.525
10,2,25.0,0.004
1,2,4.0,0.031
10,1,26.0,0.0
4,2,2.0,0.364
12,1,3.0,0.141
12,2,17.0,0.003
3,1,26.0,0.001
8,1,17.0,0.0
7,3,9.0,0.0
1,1,1.0,0.317
5,2,18.0,0.003
4,2,7.0,0.041
8,3,5.0,0.005
7,1,21.0,0.0
9,2,8.0,0.002
9,1,7.0,0.008
2,3,4.0,0.072
1,2,25.0,0.0
3,3,21.0,0.0
7,2,21.0,0.0
6,3,5.0,0.0
5,3,2.0,0.419
12,2,5.0,0.025
8,1,7.0,0.0
3,3,1.0,0.215
3,3,26.0,0.001
4,2,25.0,0.003
4,1,18.0,0.001
10,2,9.0,0.011
5,2,7.0,0.016
7,2,25.0,0.0
8,1,4.0,0.005
7,1,5.0,0.003
3,1,3.0,0.172
1,1,25.0,0.0
5,2,4.0,0.011
1,3,5.0,0.013
1,1,23.0,0.0
6,2,8.0,0.0
7,3,8.0,0.0
12,3,2.0,0.441
3,2,3.0,0.165
9,2,4.0,0.029
3,1,2.0,0.432
8,1,25.0,0.002
7,2,17.0,0.0
10,3,26.0,0.0
1,2,8.0,0.011
11,1,3.0,0.13
12,3,17.0,0.0
10,3,17.0,0.003
3,2,25.0,0.0
4,1,2.0,0.476
7,2,1.0,0.824
2,2,9.0,0.0
4,2,5.0,0.007
2,1,17.0,0.001
11,2,21.0,0.0
12,3,3.0,0.121
4,3,4.0,0.029
4,3,21.0,0.0
3,2,5.0,0.013
6,1,26.0,0.0
1,3,1.0,0.269
1,1,26.0,0.0
6,2,21.0,0.0
3,2,1.0,0.319
11,2,25.0,0.0
4,1,1.0,0.238
10,1,8.0,0.002
12,3,18.0,0.0
12,2,3.0,0.204
6,2,26.0,0.0
2,3,18.0,0.001
6,2,5.0,0.011
4,1,4.0,0.043
10,3,25.0,0.008
10,1,2.0,0.514
6,2,7.0,0.003
2,1,21.0,0.0
4,2,4.0,0.033
7,2,9.0,0.0
7,2,2.0,0.139
4,3,25.0,0.004
8,2,23.0,0.0
12,1,21.0,0.0
2,3,7.0,0.012
6,3,23.0,0.0
7,3,17.0,0.0
10,2,18.0,0.004
12,2,9.0,0.005
8,2,26.0,0.0
5,1,4.0,0.013
5,3,9.0,0.004
5,3,25.0,0.0
6,3,3.0,0.024
6,1,18.0,0.003
9,3,2.0,0.413
4,2,17.0,0.006
8,1,9.0,0.0
6,3,21.0,0.0
9,2,23.0,0.0
5,1,8.0,0.001
7,1,17.0,0.0
8,3,21.0,0.0
2,3,9.0,0.003
7,1,2.0,0.146
11,1,1.0,0.245
9,1,3.0,0.114
12,1,17.0,0.001
8,2,9.0,0.0
12,2,25.0,0.0
4,1,8.0,0.011
9,1,17.0,0.0
10,3,7.0,0.041
2,3,5.0,0.011
8,3,23.0,0.0
11,1,21.0,0.0
6,3,7.0,0.001
5,2,5.0,0.003
10,3,5.0,0.006
1,1,9.0,0.002
4,1,17.0,0.003
6,3,9.0,0.0
8,2,25.0,0.002
1,2,5.0,0.007
6,3,1.0,0.808
1,2,18.0,0.001
2,1,5.0,0.013
11,2,7.0,0.041
10,1,3.0,0.078
2,2,1.0,0.26
