m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,6.2,11.9,8.8,84.0,11.2,0.05
1,1,5.8,11.5,8.6,83.5,12.1,0.05
1,2,5.4,11.1,8.3,83.0,11.3,0.02
1,3,5.3,10.8,8.1,83.5,11.9,0.02
1,4,4.9,10.8,8.0,82.5,12.1,0.02
1,5,4.6,10.9,7.7,81.5,12.7,0.01
1,6,4.7,11.0,7.5,82.5,12.1,0.03
1,7,4.6,11.2,7.6,82.0,12.1,0.0
1,8,5.3,11.4,8.4,80.5,12.1,0.0
1,9,9.2,12.8,10.9,71.0,12.1,0.0
1,10,11.5,15.7,13.7,62.5,13.0,0.02
1,11,13.4,17.0,15.1,58.5,14.8,0.01
1,12,14.2,18.0,16.1,55.5,15.9,0.04
1,13,14.2,17.9,16.3,55.5,15.9,0.04
1,14,14.7,18.1,16.4,56.0,15.0,0.03
1,15,14.5,18.1,16.3,58.0,16.8,0.03
1,16,13.8,17.0,15.4,64.5,15.9,0.03
1,17,12.5,15.8,14.1,69.5,13.9,0.04
1,18,11.0,14.4,12.7,76.0,13.0,0.03
1,19,9.7,13.3,11.6,78.5,11.2,0.03
1,20,8.4,13.2,10.5,78.5,12.1,0.05
1,21,7.6,12.8,10.4,79.0,12.1,0.04
1,22,6.5,12.4,10.1,82.5,12.1,0.04
1,23,6.5,12.2,9.6,82.0,11.2,0.06
2,0,8.0,13.0,10.6,82.5,11.9,0.02
2,1,7.5,12.7,10.1,82.5,12.1,0.02
2,2,7.0,12.7,9.9,82.5,12.1,0.03
2,3,7.0,12.0,9.6,82.0,12.1,0.0
2,4,6.6,12.1,9.5,82.5,13.0,0.02
2,5,6.4,12.1,9.5,82.0,12.1,0.02
2,6,6.4,12.0,9.2,82.5,13.0,0.02
2,7,6.1,11.9,9.4,82.0,12.1,0.03
2,8,8.3,13.0,11.0,77.5,13.0,0.02
2,9,11.6,15.5,13.8,65.5,13.9,0.05
2,10,13.7,17.1,15.9,59.5,15.9,0.03
2,11,14.6,18.8,16.8,57.5,15.9,0.03
2,12,15.3,18.8,16.9,55.5,16.8,0.02
2,13,15.3,19.5,17.5,56.0,17.7,0.02
2,14,15.4,19.5,17.1,59.0,17.7,0.05
2,15,15.0,19.5,17.3,61.0,17.7,0.05
2,16,14.7,18.2,16.3,63.5,18.5,0.07
2,17,13.7,17.4,15.4,67.0,17.7,0.03
2,18,12.7,15.3,14.2,74.0,15.7,0.07
2,19,12.3,14.6,13.7,77.5,15.0,0.02
2,20,11.0,14.2,12.7,75.0,13.7,0.02
2,21,9.8,14.0,11.9,79.0,13.0,0.03
2,22,8.6,13.5,11.3,79.0,13.0,0.02
2,23,8.3,13.4,11.0,81.0,13.0,0.02
3,0,9.9,14.7,12.3,81.5,13.9,0.03
3,1,9.4,14.2,12.0,82.0,13.9,0.02
3,2,9.7,14.5,11.7,82.5,13.0,0.02
3,3,9.1,14.2,11.2,81.5,13.0,0.02
3,4,8.7,13.9,11.1,82.5,13.0,0.02
3,5,8.0,14.3,10.8,82.5,13.0,0.02
3,6,8.3,13.8,10.7,81.0,13.0,0.02
3,7,9.4,14.4,11.6,80.0,12.1,0.0
3,8,12.5,15.8,13.9,72.5,14.8,0.0
3,9,14.1,17.8,16.1,65.0,17.7,0.0
3,10,15.2,19.7,17.3,60.0,17.7,0.0
3,11,16.0,19.9,18.0,61.0,18.6,0.0
3,12,16.2,20.3,18.3,60.0,21.3,0.02
3,13,16.6,20.7,18.7,59.5,22.4,0.02
3,14,16.5,21.0,18.6,62.5,22.2,0.03
3,15,15.9,20.4,18.2,63.0,22.2,0.05
3,16,15.5,19.9,17.8,65.5,23.0,0.08
3,17,15.1,18.8,17.0,67.0,20.4,0.02
3,18,14.7,17.4,16.1,70.5,20.4,0.0
3,19,14.0,16.0,15.1,73.5,18.6,0.02
3,20,13.1,15.9,14.5,77.0,17.7,0.05
3,21,12.0,15.3,14.0,78.5,14.1,0.05
3,22,11.4,15.2,13.5,80.0,15.9,0.02
3,23,10.8,15.0,12.8,80.0,13.9,0.02
4,0,12.4,15.9,14.1,80.0,12.1,0.03
4,1,11.6,15.7,13.8,82.3,13.9,0.03
4,2,11.1,15.6,13.3,82.3,13.0,0.03
4,3,11.1,15.4,13.2,82.3,13.0,0.03
4,4,10.7,15.1,13.1,84.0,12.1,0.03
