m,coco,coco_pct
8,17.0,0.003
4,9.0,0.009
4,26.0,0.0
9,4.0,0.015
6,3.0,0.232
12,2.0,0.29
9,25.0,0.01
4,23.0,0.0
8,4.0,0.011
5,7.0,0.038
8,8.0,0.016
6,1.0,0.364
9,1.0,0.259
5,4.0,0.018
6,9.0,0.002
2,17.0,0.002
4,2.0,0.315
6,2.0,0.312
3,3.0,0.249
11,4.0,0.025
3,9.0,0.022
11,8.0,0.023
12,23.0,0.0
4,14.0,0.0
7,8.0,0.005
4,1.0,0.229
11,3.0,0.306
7,17.0,0.006
7,7.0,0.024
12,25.0,0.0
4,17.0,0.006
3,17.0,0.004
7,2.0,0.296
1,25.0,0.002
7,1.0,0.531
3,4.0,0.048
12,17.0,0.003
10,1.0,0.265
11,18.0,0.002
6,23.0,0.0
5,14.0,0.0
1,7.0,0.022
9,5.0,0.002
12,7.0,0.023
5,9.0,0.01
8,7.0,0.04
10,3.0,0.295
2,14.0,0.0
8,1.0,0.457
6,8.0,0.011
9,14.0,0.0
8,2.0,0.317
5,8.0,0.016
10,18.0,0.003
4,8.0,0.026
12,9.0,0.001
6,7.0,0.038
1,9.0,0.002
3,23.0,0.0
7,18.0,0.015
7,9.0,0.001
7,25.0,0.006
10,5.0,0.006
8,5.0,0.0
7,14.0,0.0
2,25.0,0.001
5,26.0,0.0
12,3.0,0.26
6,18.0,0.011
11,25.0,0.007
1,5.0,0.006
9,26.0,0.001
7,5.0,0.001
10,14.0,0.0
9,23.0,0.0
9,18.0,0.013
2,3.0,0.216
4,18.0,0.004
9,8.0,0.027
12,1.0,0.373
2,4.0,0.051
6,4.0,0.014
11,1.0,0.249
6,25.0,0.001
3,8.0,0.052
8,18.0,0.016
8,26.0,0.0
3,5.0,0.01
9,3.0,0.247
2,9.0,0.002
11,23.0,0.0
3,26.0,0.0
10,17.0,0.013
10,4.0,0.014
3,2.0,0.266
5,5.0,0.004
5,25.0,0.003
7,3.0,0.111
4,25.0,0.006
11,7.0,0.037
5,3.0,0.216
1,26.0,0.0
6,5.0,0.002
5,2.0,0.42
1,23.0,0.0
10,9.0,0.01
11,17.0,0.01
2,23.0,0.0
1,3.0,0.253
9,9.0,0.013
11,2.0,0.329
8,3.0,0.136
6,17.0,0.013
12,26.0,0.0
5,18.0,0.003
1,18.0,0.002
3,18.0,0.002
4,4.0,0.058
12,8.0,0.012
1,1.0,0.427
3,25.0,0.001
3,1.0,0.271
7,4.0,0.004
2,26.0,0.0
2,8.0,0.01
10,8.0,0.02
10,2.0,0.334
5,17.0,0.01
1,8.0,0.012
11,14.0,0.0
4,5.0,0.006
12,5.0,0.012
1,4.0,0.022
4,3.0,0.268
9,17.0,0.015
2,2.0,0.293
5,1.0,0.262
10,23.0,0.0
9,2.0,0.339
10,26.0,0.0
8,14.0,0.0
8,23.0,0.0
7,23.0,0.0
2,18.0,0.0
4,7.0,0.073
9,7.0,0.06
11,26.0,0.0
1,17.0,0.006
11,5.0,0.004
3,14.0,0.0
2,7.0,0.026
6,26.0,0.001
11,9.0,0.008
10,25.0,0.002
6,14.0,0.0
12,4.0,0.026
2,1.0,0.377
10,7.0,0.038
8,25.0,0.004
7,26.0,0.0
3,7.0,0.077
2,5.0,0.023
12,18.0,0.0
5,23.0,0.0
8,9.0,0.001
12,14.0,0.0
1,14.0,0.0
1,2.0,0.246
