m,coco,coco_pct
5,3.0,0.443
6,7.0,0.006
11,3.0,0.444
2,17.0,0.005
10,1.0,0.326
7,17.0,0.006
8,9.0,0.001
3,8.0,0.013
6,8.0,0.007
5,1.0,0.347
10,8.0,0.011
8,1.0,0.707
9,18.0,0.005
6,3.0,0.343
6,5.0,0.001
5,2.0,0.134
7,9.0,0.0
5,9.0,0.016
2,1.0,0.392
1,1.0,0.375
12,8.0,0.009
1,17.0,0.003
4,2.0,0.122
9,17.0,0.015
3,9.0,0.003
12,9.0,0.002
10,3.0,0.496
4,1.0,0.444
8,18.0,0.0
4,5.0,0.001
1,8.0,0.005
5,5.0,0.001
10,2.0,0.124
2,7.0,0.008
1,2.0,0.114
3,2.0,0.109
11,8.0,0.003
6,9.0,0.0
3,3.0,0.512
12,17.0,0.004
4,7.0,0.004
4,8.0,0.01
3,7.0,0.01
4,9.0,0.001
4,3.0,0.411
6,17.0,0.012
5,18.0,0.004
9,7.0,0.012
10,5.0,0.014
7,7.0,0.001
10,17.0,0.008
7,3.0,0.147
3,5.0,0.003
9,3.0,0.404
9,1.0,0.364
10,18.0,0.001
4,17.0,0.004
1,3.0,0.487
3,18.0,0.001
8,5.0,0.002
1,18.0,0.0
11,1.0,0.358
2,5.0,0.006
1,9.0,0.004
9,5.0,0.007
9,2.0,0.168
2,9.0,0.005
3,17.0,0.006
12,18.0,0.001
9,8.0,0.015
4,18.0,0.002
7,1.0,0.701
11,5.0,0.02
2,2.0,0.128
7,5.0,0.001
3,1.0,0.343
7,18.0,0.0
12,7.0,0.005
8,7.0,0.002
2,8.0,0.007
5,8.0,0.022
6,18.0,0.002
6,2.0,0.153
8,17.0,0.003
7,2.0,0.141
11,17.0,0.007
12,2.0,0.124
12,5.0,0.021
8,8.0,0.003
2,3.0,0.449
6,1.0,0.477
11,18.0,0.0
1,5.0,0.008
1,7.0,0.003
10,9.0,0.013
7,8.0,0.001
11,2.0,0.16
9,9.0,0.011
5,17.0,0.019
11,9.0,0.001
8,2.0,0.135
11,7.0,0.006
8,3.0,0.146
10,7.0,0.005
12,1.0,0.405
5,7.0,0.014
2,18.0,0.0
12,3.0,0.427
