m,coco,coco_pct
2,9.0,0.002
9,2.0,0.116
12,1.0,0.244
9,25.0,0.005
4,18.0,0.003
8,13.0,0.0
8,5.0,0.0
11,5.0,0.06
10,14.0,0.0
6,13.0,0.0
2,15.0,0.003
1,1.0,0.332
2,8.0,0.016
5,21.0,0.0
1,16.0,0.0
5,1.0,0.213
10,19.0,0.0
5,7.0,0.029
4,12.0,0.0
11,3.0,0.412
1,14.0,0.017
8,25.0,0.0
4,16.0,0.0
1,21.0,0.003
10,5.0,0.002
11,18.0,0.001
1,8.0,0.025
4,25.0,0.001
3,19.0,0.001
9,13.0,0.0
2,13.0,0.0
10,9.0,0.006
5,2.0,0.139
12,7.0,0.036
12,25.0,0.0
8,12.0,0.0
6,3.0,0.299
1,7.0,0.032
11,2.0,0.113
9,18.0,0.0
3,16.0,0.0
3,25.0,0.001
12,9.0,0.016
7,21.0,0.0
6,5.0,0.002
8,16.0,0.0
2,18.0,0.0
7,14.0,0.0
3,15.0,0.0
12,13.0,0.001
1,13.0,0.0
2,1.0,0.311
11,12.0,0.002
12,5.0,0.171
4,2.0,0.122
8,3.0,0.076
3,5.0,0.008
8,18.0,0.001
9,8.0,0.007
3,18.0,0.0
7,8.0,0.002
2,2.0,0.085
7,13.0,0.0
2,25.0,0.0
4,14.0,0.0
8,15.0,0.0
7,2.0,0.122
7,19.0,0.0
1,9.0,0.014
12,18.0,0.002
4,21.0,0.0
6,14.0,0.0
5,18.0,0.005
1,12.0,0.002
8,2.0,0.126
7,12.0,0.0
11,7.0,0.022
5,17.0,0.052
7,5.0,0.0
6,8.0,0.008
7,18.0,0.001
6,19.0,0.0
5,25.0,0.019
2,19.0,0.001
10,8.0,0.011
12,8.0,0.041
8,19.0,0.0
4,5.0,0.0
3,1.0,0.272
8,1.0,0.79
9,21.0,0.0
9,5.0,0.001
9,19.0,0.0
10,21.0,0.0
10,15.0,0.0
6,21.0,0.0
8,21.0,0.0
10,17.0,0.014
9,17.0,0.012
1,17.0,0.021
8,17.0,0.003
9,9.0,0.006
12,14.0,0.0
2,21.0,0.003
6,2.0,0.125
1,2.0,0.066
11,1.0,0.318
7,17.0,0.016
3,3.0,0.444
9,3.0,0.185
9,15.0,0.0
7,25.0,0.007
11,21.0,0.001
1,15.0,0.003
11,13.0,0.001
12,19.0,0.0
4,15.0,0.0
5,12.0,0.0
11,8.0,0.027
9,1.0,0.661
11,15.0,0.004
4,17.0,0.057
3,9.0,0.027
7,1.0,0.738
6,17.0,0.039
4,1.0,0.215
5,9.0,0.028
10,2.0,0.098
3,17.0,0.038
10,12.0,0.0
5,5.0,0.002
5,14.0,0.0
10,16.0,0.0
12,17.0,0.01
7,3.0,0.109
3,21.0,0.001
3,7.0,0.055
11,25.0,0.0
5,15.0,0.0
11,19.0,0.0
2,7.0,0.032
2,16.0,0.0
10,13.0,0.0
5,3.0,0.482
3,2.0,0.09
6,1.0,0.442
8,9.0,0.0
8,14.0,0.0
12,3.0,0.379
12,12.0,0.003
3,8.0,0.047
1,3.0,0.342
4,7.0,0.022
8,8.0,0.001
2,3.0,0.487
12,2.0,0.098
6,25.0,0.046
2,14.0,0.014
10,3.0,0.317
7,7.0,0.002
7,16.0,0.0
9,14.0,0.0
5,13.0,0.0
6,18.0,0.007
1,5.0,0.14
10,25.0,0.004
3,13.0,0.0
11,14.0,0.005
5,19.0,0.0
11,16.0,0.0
5,8.0,0.031
2,5.0,0.023
12,16.0,0.0
6,12.0,0.0
11,17.0,0.012
6,15.0,0.0
2,12.0,0.003
2,17.0,0.019
4,19.0,0.0
10,1.0,0.536
6,7.0,0.017
8,7.0,0.002
1,19.0,0.0
3,12.0,0.005
7,15.0,0.0
9,16.0,0.0
11,9.0,0.02
4,9.0,0.021
9,7.0,0.006
4,3.0,0.529
1,25.0,0.0
1,18.0,0.001
4,13.0,0.0
6,16.0,0.0
12,15.0,0.0
9,12.0,0.0
10,18.0,0.001
6,9.0,0.015
3,14.0,0.011
7,9.0,0.002
4,8.0,0.029
12,21.0,0.0
5,16.0,0.0
10,7.0,0.01
