m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,-2.0,2.9,7.6,6.7,4.0,0.43,10.0
1,2,-2.4,1.6,6.5,7.1,5.0,0.51,12.0
1,3,-2.1,1.6,6.4,7.1,6.0,0.5,7.0
2,1,-1.8,2.6,8.8,8.5,4.0,0.41,12.0
2,2,-2.6,2.9,8.0,7.0,4.0,0.38,8.0
2,3,-0.1,5.2,11.6,6.8,3.0,0.31,13.0
3,1,-0.5,6.5,13.1,7.7,4.0,0.41,8.0
3,2,1.6,6.8,11.8,9.3,6.0,0.65,22.0
3,3,1.5,6.5,12.1,9.7,6.0,0.58,15.0
4,1,5.8,12.1,18.1,9.3,5.0,0.46,7.0
4,2,5.5,12.6,18.0,8.3,5.0,0.53,11.0
4,3,6.9,15.4,22.2,8.5,4.0,0.4,6.0
5,1,8.4,14.7,20.5,8.5,6.0,0.58,12.0
5,2,10.6,18.0,24.9,8.1,4.0,0.45,9.0
5,3,11.0,18.4,25.5,8.4,7.0,0.68,28.0
6,1,13.7,20.5,27.4,8.3,5.0,0.51,10.0
6,2,14.5,20.5,26.5,8.6,7.0,0.66,18.0
6,3,16.2,22.4,28.4,9.7,4.0,0.44,10.0
7,1,16.8,24.4,31.3,10.3,4.0,0.41,2.0
7,2,17.4,24.2,30.8,9.9,1.0,0.13,0.0
7,3,17.5,25.2,32.2,10.4,1.0,0.09,1.0
8,1,18.1,25.8,32.4,9.5,2.0,0.22,1.0
8,2,17.2,24.8,32.2,10.3,1.0,0.07,0.0
8,3,17.2,25.2,32.1,7.9,2.0,0.17,1.0
9,1,15.8,21.8,28.5,8.6,2.0,0.15,1.0
9,2,12.5,20.5,27.3,8.1,2.0,0.2,1.0
9,3,10.4,17.5,24.6,6.6,3.0,0.26,3.0
10,1,8.1,15.8,22.8,6.2,3.0,0.25,1.0
10,2,8.3,15.2,23.0,6.2,4.0,0.36,3.0
10,3,4.3,11.7,19.4,4.5,2.0,0.16,0.0
11,1,3.4,10.2,17.8,4.5,2.0,0.25,3.0
11,2,1.5,7.5,14.2,4.4,4.0,0.35,3.0
11,3,1.9,6.6,11.6,6.9,6.0,0.58,23.0
12,1,0.9,5.3,10.0,5.2,5.0,0.52,9.0
12,2,1.6,5.8,9.1,6.6,6.0,0.59,27.0
12,3,-0.5,3.5,8.2,5.9,4.0,0.39,16.0
