m,m3,coco,coco_pct
7,2,7.0,0.0
5,3,18.0,0.035
3,3,2.0,0.293
6,3,25.0,0.006
11,1,1.0,0.615
8,2,26.0,0.0
2,3,5.0,0.006
6,2,1.0,0.328
8,1,23.0,0.001
4,3,4.0,0.012
3,1,4.0,0.023
9,2,19.0,0.0
2,3,26.0,0.0
10,1,19.0,0.0
10,3,3.0,0.112
4,3,17.0,0.023
11,3,7.0,0.001
7,1,18.0,0.001
12,2,7.0,0.0
3,2,1.0,0.276
4,3,23.0,0.0
3,1,3.0,0.262
10,2,3.0,0.15
3,2,21.0,0.0
1,3,7.0,0.0
1,3,23.0,0.0
11,2,2.0,0.278
9,2,27.0,0.0
4,2,27.0,0.0
9,1,7.0,0.0
2,2,5.0,0.004
2,3,25.0,0.048
11,3,21.0,0.0
6,2,3.0,0.135
9,2,1.0,0.58
5,3,27.0,0.0
4,1,18.0,0.029
9,2,26.0,0.0
7,3,17.0,0.0
11,2,18.0,0.047
1,1,2.0,0.173
4,1,25.0,0.025
10,1,2.0,0.324
12,1,18.0,0.132
1,2,21.0,0.0
8,3,3.0,0.014
2,1,19.0,0.0
8,3,19.0,0.0
3,1,7.0,0.0
12,3,19.0,0.0
6,3,23.0,0.001
9,2,21.0,0.0
11,1,26.0,0.0
7,2,21.0,0.0
4,3,25.0,0.021
8,2,7.0,0.0
12,3,1.0,0.367
1,2,17.0,0.044
1,2,26.0,0.0
4,1,5.0,0.012
10,2,1.0,0.375
11,2,4.0,0.005
4,2,7.0,0.001
12,1,17.0,0.083
3,1,17.0,0.02
6,2,4.0,0.007
3,2,25.0,0.033
2,3,17.0,0.077
12,3,18.0,0.082
1,1,21.0,0.0
11,3,25.0,0.079
3,1,21.0,0.0
3,2,7.0,0.001
4,3,21.0,0.0
12,1,2.0,0.252
3,3,21.0,0.0
4,2,19.0,0.0
8,3,5.0,0.002
7,3,4.0,0.0
2,1,18.0,0.055
12,3,21.0,0.0
6,3,17.0,0.0
1,1,19.0,0.0
6,3,5.0,0.001
10,1,18.0,0.007
5,1,19.0,0.0
7,2,25.0,0.004
7,3,18.0,0.004
3,1,19.0,0.0
3,3,1.0,0.368
12,1,21.0,0.0
7,3,2.0,0.223
9,1,1.0,0.582
1,1,18.0,0.095
7,3,19.0,0.0
6,3,3.0,0.046
9,1,25.0,0.003
4,1,1.0,0.223
5,2,21.0,0.0
8,1,21.0,0.0
1,2,1.0,0.315
12,2,19.0,0.0
11,3,23.0,0.002
6,2,27.0,0.0
5,3,3.0,0.163
3,2,27.0,0.0
7,3,7.0,0.0
7,2,17.0,0.0
12,2,5.0,0.02
1,3,2.0,0.236
12,1,19.0,0.0
3,1,2.0,0.298
12,2,3.0,0.238
1,2,23.0,0.001
1,3,25.0,0.075
1,1,1.0,0.276
9,2,18.0,0.01
7,1,3.0,0.024
6,2,7.0,0.0
5,3,23.0,0.0
10,3,5.0,0.0
8,1,7.0,0.0
6,3,19.0,0.0
5,1,3.0,0.226
9,3,17.0,0.001
6,2,26.0,0.001
3,1,18.0,0.043
2,2,2.0,0.231
12,1,7.0,0.0
4,1,23.0,0.0
6,3,27.0,0.0
5,2,1.0,0.486
7,3,25.0,0.004
5,1,1.0,0.301
9,3,19.0,0.0
1,3,5.0,0.009
10,2,2.0,0.407
2,2,21.0,0.0
10,2,25.0,0.038
3,3,17.0,0.039
5,2,3.0,0.138
1,3,1.0,0.299
