m,coco,coco_pct
2,27.0,0.002
6,7.0,0.0
6,9.0,0.0
12,7.0,0.001
3,3.0,0.119
2,26.0,0.0
6,4.0,0.004
3,4.0,0.066
1,3.0,0.172
7,25.0,0.0
5,26.0,0.0
9,25.0,0.001
9,27.0,0.0
11,17.0,0.008
5,3.0,0.08
8,18.0,0.001
4,27.0,0.0
3,25.0,0.003
2,25.0,0.011
10,27.0,0.0
11,4.0,0.031
9,9.0,0.0
9,8.0,0.0
2,7.0,0.0
12,17.0,0.009
11,26.0,0.0
6,17.0,0.0
5,25.0,0.001
8,17.0,0.0
5,8.0,0.0
12,2.0,0.28
5,18.0,0.013
4,17.0,0.004
1,2.0,0.217
4,3.0,0.12
3,2.0,0.28
2,3.0,0.131
3,26.0,0.0
1,26.0,0.0
7,7.0,0.0
10,7.0,0.0
4,1.0,0.539
3,27.0,0.001
10,4.0,0.016
10,17.0,0.002
7,3.0,0.002
4,18.0,0.027
8,2.0,0.02
12,25.0,0.021
11,27.0,0.0
4,23.0,0.0
8,4.0,0.0
11,8.0,0.0
6,23.0,0.0
9,17.0,0.0
2,4.0,0.064
12,9.0,0.001
9,7.0,0.0
4,9.0,0.0
9,2.0,0.085
1,8.0,0.001
3,17.0,0.005
1,1.0,0.379
7,26.0,0.0
11,1.0,0.537
5,1.0,0.637
12,23.0,0.001
12,26.0,0.0
1,17.0,0.014
4,25.0,0.002
8,27.0,0.0
11,23.0,0.001
12,1.0,0.358
3,1.0,0.466
9,18.0,0.007
2,8.0,0.0
8,7.0,0.0
10,9.0,0.0
11,2.0,0.219
5,9.0,0.0
9,23.0,0.0
8,23.0,0.0
7,27.0,0.0
6,26.0,0.0
9,26.0,0.0
4,2.0,0.272
1,9.0,0.0
10,2.0,0.148
11,25.0,0.009
10,18.0,0.025
10,25.0,0.001
1,4.0,0.075
7,23.0,0.0
6,25.0,0.002
2,9.0,0.0
8,8.0,0.0
1,27.0,0.0
7,18.0,0.0
8,25.0,0.001
2,18.0,0.07
4,8.0,0.0
10,3.0,0.036
2,2.0,0.234
9,1.0,0.888
6,1.0,0.844
4,4.0,0.036
7,4.0,0.0
10,1.0,0.771
12,3.0,0.138
3,7.0,0.0
12,18.0,0.147
6,27.0,0.0
8,9.0,0.0
1,25.0,0.025
11,9.0,0.0
5,23.0,0.0
5,4.0,0.022
5,27.0,0.0
4,26.0,0.0
2,17.0,0.013
2,23.0,0.0
6,2.0,0.113
12,27.0,0.0
3,18.0,0.061
10,8.0,0.0
3,23.0,0.0
9,3.0,0.018
2,1.0,0.474
7,1.0,0.98
5,7.0,0.0
1,7.0,0.001
11,3.0,0.098
8,3.0,0.002
6,8.0,0.0
7,8.0,0.0
6,18.0,0.009
3,8.0,0.0
5,2.0,0.247
8,26.0,0.0
11,7.0,0.0
1,23.0,0.0
10,23.0,0.001
7,2.0,0.017
11,18.0,0.097
12,8.0,0.0
10,26.0,0.0
3,9.0,0.0
8,1.0,0.976
7,9.0,0.0
7,17.0,0.0
9,4.0,0.001
5,17.0,0.001
6,3.0,0.028
1,18.0,0.116
4,7.0,0.0
12,4.0,0.044
