m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,11.2,13.8,16.9,7.3,5.0,0.53,5.0
1,2,9.2,12.4,16.0,8.3,6.0,0.57,17.0
1,3,9.2,12.7,15.8,10.5,5.0,0.45,18.0
2,1,10.1,13.3,17.0,9.9,3.0,0.25,13.0
2,2,10.0,13.5,17.2,7.2,2.0,0.15,14.0
2,3,11.3,14.3,18.4,7.8,3.0,0.33,8.0
3,1,11.5,14.6,18.3,7.3,6.0,0.6,23.0
3,2,11.1,13.9,18.2,9.6,5.0,0.45,21.0
3,3,11.7,15.5,19.6,8.3,3.0,0.27,14.0
4,1,14.1,17.3,20.9,9.2,4.0,0.4,22.0
4,2,14.4,17.7,22.6,8.9,5.0,0.45,19.0
4,3,15.8,19.4,24.6,7.3,2.0,0.15,10.0
5,1,16.8,20.5,25.1,7.3,3.0,0.25,14.0
5,2,18.6,23.1,28.7,6.7,2.0,0.2,2.0
5,3,19.2,23.2,28.0,7.2,5.0,0.47,10.0
6,1,21.0,25.4,30.8,6.8,1.0,0.13,0.0
6,2,22.6,26.8,32.0,7.2,2.0,0.17,0.0
6,3,25.0,29.6,35.1,8.3,0.0,0.0,0.0
7,1,25.4,30.1,35.7,7.2,0.0,0.0,0.0
7,2,25.4,30.3,35.7,7.9,0.0,0.0,0.0
7,3,26.4,31.2,37.2,8.2,0.0,0.0,0.0
8,1,26.0,30.3,36.0,7.3,0.0,0.0,0.0
8,2,25.5,29.9,35.8,6.7,0.0,0.0,0.0
8,3,24.8,28.7,34.1,5.4,2.0,0.15,0.0
9,1,24.7,28.5,33.8,6.6,1.0,0.08,0.0
9,2,23.2,27.1,32.2,6.5,1.0,0.13,0.0
9,3,21.8,25.1,30.2,6.3,1.0,0.1,0.0
10,1,20.6,24.1,28.9,6.3,1.0,0.07,0.0
10,2,19.5,22.5,27.2,5.1,1.0,0.13,0.0
10,3,18.1,21.2,26.1,4.8,1.0,0.09,0.0
11,1,17.3,20.5,24.9,5.1,2.0,0.23,1.0
11,2,15.7,18.3,22.1,6.3,5.0,0.53,8.0
11,3,14.6,17.0,20.7,8.4,7.0,0.7,65.0
12,1,13.0,15.6,18.8,7.4,6.0,0.55,45.0
12,2,12.8,15.4,18.8,8.3,4.0,0.4,26.0
12,3,11.0,13.8,16.9,6.8,5.0,0.42,22.0
