m,m3,coco,coco_pct
10,3,8.0,0.0
9,1,8.0,0.0
9,3,3.0,0.073
5,2,22.0,0.0
2,2,8.0,0.0
12,3,17.0,0.047
7,2,2.0,0.142
11,2,22.0,0.0
10,3,18.0,0.038
8,2,8.0,0.0
4,2,8.0,0.0
10,3,25.0,0.02
12,2,7.0,0.002
6,3,7.0,0.0
10,2,27.0,0.0
5,2,23.0,0.0
3,1,3.0,0.255
5,3,22.0,0.0
2,2,25.0,0.017
7,3,23.0,0.0
12,3,1.0,0.295
11,2,4.0,0.012
5,3,5.0,0.0
8,3,27.0,0.0
1,2,17.0,0.042
11,3,1.0,0.214
7,3,2.0,0.09
2,2,9.0,0.0
10,1,2.0,0.27
8,1,2.0,0.167
2,2,7.0,0.001
5,1,26.0,0.001
10,3,2.0,0.203
5,1,17.0,0.012
1,3,26.0,0.004
3,1,2.0,0.284
6,1,8.0,0.0
4,3,1.0,0.44
10,2,4.0,0.005
5,1,23.0,0.0
6,3,3.0,0.013
2,2,27.0,0.0
11,2,25.0,0.042
4,2,1.0,0.357
7,3,25.0,0.0
12,2,9.0,0.0
6,1,5.0,0.0
3,2,22.0,0.0
8,3,9.0,0.0
9,2,26.0,0.0
4,2,9.0,0.0
1,1,23.0,0.0
9,1,3.0,0.037
10,2,2.0,0.348
5,3,17.0,0.003
1,1,25.0,0.061
6,1,4.0,0.004
7,2,1.0,0.842
12,3,8.0,0.0
3,2,18.0,0.056
4,1,26.0,0.0
5,3,1.0,0.389
5,2,27.0,0.0
4,1,1.0,0.206
1,1,5.0,0.005
6,1,26.0,0.0
8,1,22.0,0.0
11,1,25.0,0.023
3,1,7.0,0.001
11,3,7.0,0.002
2,2,18.0,0.048
7,1,1.0,0.844
5,1,9.0,0.0
7,2,27.0,0.0
6,1,17.0,0.007
6,1,27.0,0.0
1,2,7.0,0.0
4,1,7.0,0.001
7,2,22.0,0.0
3,3,7.0,0.0
7,2,7.0,0.0
3,3,4.0,0.044
10,1,27.0,0.002
2,1,1.0,0.397
12,1,9.0,0.0
1,1,3.0,0.308
2,1,4.0,0.018
2,3,5.0,0.002
3,1,4.0,0.02
12,2,8.0,0.001
7,3,3.0,0.002
5,3,8.0,0.001
8,2,1.0,0.878
2,3,26.0,0.0
1,3,4.0,0.043
9,2,18.0,0.004
6,2,1.0,0.443
12,3,3.0,0.248
11,3,4.0,0.039
1,3,5.0,0.0
3,1,9.0,0.001
5,1,5.0,0.0
9,1,7.0,0.0
12,3,9.0,0.0
2,3,17.0,0.026
4,1,3.0,0.333
12,2,5.0,0.005
11,2,9.0,0.0
9,1,27.0,0.0
1,3,25.0,0.058
12,3,22.0,0.0
1,2,5.0,0.001
3,2,27.0,0.0
3,2,9.0,0.001
5,3,26.0,0.0
11,1,22.0,0.0
6,1,1.0,0.518
9,1,22.0,0.0
9,3,5.0,0.0
1,3,1.0,0.251
7,1,17.0,0.0
3,2,5.0,0.0
6,3,18.0,0.001
4,2,18.0,0.013
8,3,2.0,0.199
8,2,2.0,0.115
9,3,26.0,0.001
8,1,26.0,0.0
8,1,3.0,0.006
8,3,23.0,0.0
4,1,8.0,0.0
2,3,9.0,0.0
8,2,25.0,0.0
9,1,2.0,0.219
2,3,23.0,0.001
10,3,4.0,0.011
12,1,5.0,0.004
1,2,1.0,0.298
4,2,17.0,0.007
9,2,23.0,0.001
1,2,8.0,0.0
11,1,8.0,0.0
12,2,22.0,0.0
12,1,25.0,0.108
2,1,26.0,0.0
3,2,4.0,0.044
2,2,3.0,0.225
10,1,23.0,0.001
2,1,8.0,0.0
11,1,23.0,0.001
11,1,7.0,0.0
11,2,23.0,0.0
10,1,4.0,0.004
9,1,23.0,0.001
10,3,5.0,0.002
8,3,25.0,0.0
12,3,5.0,0.005
10,2,17.0,0.004
2,2,5.0,0.005
6,3,23.0,0.0
7,1,8.0,0.0
11,1,1.0,0.537
10,3,23.0,0.002
10,1,5.0,0.0
6,3,4.0,0.0
2,2,2.0,0.209
11,3,17.0,0.038
9,1,9.0,0.0
12,1,7.0,0.001
1,1,17.0,0.056
9,3,23.0,0.001
11,2,3.0,0.181
