m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,7.1,11.8,9.5,86.0,11.2,0.3
1,1,1,7.0,12.0,9.5,86.0,11.6,0.27
1,1,2,7.0,12.0,9.5,84.3,11.2,0.33
1,1,3,6.7,12.0,9.3,84.5,12.1,0.27
1,1,4,6.5,12.0,9.5,83.8,12.1,0.2
1,1,5,6.5,12.0,9.0,85.5,13.0,0.23
1,1,6,6.9,12.0,9.4,85.0,11.2,0.2
1,1,7,8.0,12.5,10.8,81.8,11.6,0.27
1,1,8,11.0,13.0,12.0,77.5,11.6,0.23
1,1,9,12.3,15.0,13.6,70.0,12.6,0.23
1,1,10,12.5,16.5,14.8,68.0,13.0,0.23
1,1,11,14.0,18.0,16.0,63.5,11.1,0.17
1,1,12,12.9,18.0,15.8,64.8,13.9,0.23
1,1,13,13.0,18.0,15.5,66.5,14.0,0.27
1,1,14,14.0,18.0,15.5,66.5,12.6,0.2
1,1,15,12.6,16.1,14.4,71.3,11.1,0.23
1,1,16,11.0,15.0,13.0,78.3,11.5,0.3
1,1,17,10.0,14.0,12.0,82.0,10.8,0.27
1,1,18,9.3,13.9,11.6,80.0,12.1,0.27
1,1,19,9.0,14.0,11.3,80.8,11.2,0.3
1,1,20,9.0,13.0,11.0,83.5,13.5,0.33
1,1,21,8.4,13.5,10.5,81.5,13.0,0.23
1,1,22,8.0,12.5,10.0,82.3,12.1,0.3
1,1,23,7.0,12.0,9.8,85.0,12.6,0.3
1,2,0,6.0,12.4,8.5,77.0,15.0,0.27
1,2,1,6.0,11.5,8.0,76.3,14.5,0.26
1,2,2,5.5,12.5,8.0,77.8,13.0,0.27
1,2,3,5.0,11.3,7.6,77.0,13.5,0.2
1,2,4,5.5,12.5,8.3,78.3,13.9,0.23
1,2,5,6.0,12.0,8.3,76.0,13.5,0.3
1,2,6,5.9,10.8,7.7,76.8,14.1,0.33
1,2,7,7.5,13.0,10.3,75.3,15.0,0.4
1,2,8,9.0,14.0,11.5,68.5,17.3,0.4
1,2,9,9.6,15.7,13.1,62.5,16.4,0.33
1,2,10,10.5,16.5,14.0,59.0,14.9,0.33
1,2,11,11.0,17.5,14.5,57.3,13.9,0.47
1,2,12,11.8,17.6,14.7,56.0,14.5,0.37
1,2,13,12.0,17.5,15.0,56.8,16.3,0.4
1,2,14,12.0,17.5,14.8,59.5,14.5,0.37
1,2,15,11.2,16.9,13.8,64.3,12.1,0.3
1,2,16,9.5,15.0,12.0,75.0,11.2,0.37
1,2,17,8.5,15.0,11.3,79.3,11.6,0.37
1,2,18,7.5,14.5,10.7,76.0,11.6,0.43
1,2,19,7.0,14.0,10.3,77.0,13.6,0.4
1,2,20,6.5,13.0,9.8,76.5,13.5,0.4
1,2,21,6.1,13.3,9.3,76.8,13.1,0.33
1,2,22,5.5,13.0,9.0,74.5,13.5,0.37
1,2,23,5.5,12.5,9.0,75.3,14.0,0.3
1,3,0,6.0,12.3,8.6,77.5,16.6,0.12
