m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,7.3,11.2,15.6,13.3,17.0,0.56,198.0,turkije,alanya
2,7.5,11.8,16.5,13.3,14.0,0.47,65.0,turkije,alanya
3,8.9,13.7,18.3,13.1,13.0,0.42,52.0,turkije,alanya
4,12.1,17.4,22.7,11.5,7.0,0.22,5.0,turkije,alanya
5,17.1,22.4,27.4,12.1,7.0,0.24,10.0,turkije,alanya
6,20.9,25.8,30.4,12.0,5.0,0.16,3.0,turkije,alanya
7,25.4,30.4,35.6,12.8,1.0,0.04,0.0,turkije,alanya
8,24.9,29.7,34.5,11.7,2.0,0.06,1.0,turkije,alanya
9,22.3,27.1,32.1,11.9,3.0,0.11,0.0,turkije,alanya
10,18.3,22.7,27.6,11.1,6.0,0.19,7.0,turkije,alanya
11,12.6,17.0,22.9,11.3,14.0,0.48,71.0,turkije,alanya
12,9.5,13.1,17.3,11.6,18.0,0.57,252.0,turkije,alanya
1,-2.5,2.1,6.6,7.0,15.0,0.48,29.0,turkije,ankara
2,-1.0,3.8,9.5,8.0,11.0,0.4,36.0,turkije,ankara
3,1.5,6.7,12.1,8.8,18.0,0.59,55.0,turkije,ankara
4,6.0,12.4,18.8,8.9,14.0,0.47,24.0,turkije,ankara
5,10.1,16.9,23.5,8.3,18.0,0.57,48.0,turkije,ankara
6,14.6,20.6,27.3,8.6,16.0,0.54,38.0,turkije,ankara
7,17.2,24.6,31.4,10.0,6.0,0.2,3.0,turkije,ankara
8,17.5,25.4,32.3,9.2,5.0,0.15,1.0,turkije,ankara
9,12.5,20.5,27.1,8.0,6.0,0.2,4.0,turkije,ankara
10,7.0,15.0,22.3,5.7,8.0,0.26,4.0,turkije,ankara
11,2.1,7.7,14.4,5.3,12.0,0.39,29.0,turkije,ankara
12,0.5,5.0,9.1,5.6,15.0,0.5,51.0,turkije,ankara
1,7.3,11.2,15.6,13.3,17.0,0.56,198.0,turkije,antalya
2,7.5,11.8,16.5,13.3,14.0,0.47,65.0,turkije,antalya
3,8.9,13.7,18.3,13.1,13.0,0.42,52.0,turkije,antalya
4,12.1,17.4,22.7,11.5,7.0,0.22,5.0,turkije,antalya
5,17.1,22.4,27.4,12.1,7.0,0.24,10.0,turkije,antalya
6,20.9,25.8,30.4,12.0,5.0,0.16,3.0,turkije,antalya
7,25.4,30.4,35.6,12.8,1.0,0.04,0.0,turkije,antalya
8,24.9,29.7,34.5,11.7,2.0,0.06,1.0,turkije,antalya
9,22.3,27.1,32.1,11.9,3.0,0.11,0.0,turkije,antalya
10,18.3,22.7,27.6,11.1,6.0,0.19,7.0,turkije,antalya
11,12.6,17.0,22.9,11.3,14.0,0.48,71.0,turkije,antalya
12,9.5,13.1,17.3,11.6,18.0,0.57,252.0,turkije,antalya
1,7.3,11.2,15.6,13.3,17.0,0.56,198.0,turkije,belek
2,7.5,11.8,16.5,13.3,14.0,0.47,65.0,turkije,belek
3,8.9,13.7,18.3,13.1,13.0,0.42,52.0,turkije,belek
4,12.1,17.4,22.7,11.5,7.0,0.22,5.0,turkije,belek
5,17.1,22.4,27.4,12.1,7.0,0.24,10.0,turkije,belek
6,20.9,25.8,30.4,12.0,5.0,0.16,3.0,turkije,belek
7,25.4,30.4,35.6,12.8,1.0,0.04,0.0,turkije,belek
8,24.9,29.7,34.5,11.7,2.0,0.06,1.0,turkije,belek
9,22.3,27.1,32.1,11.9,3.0,0.11,0.0,turkije,belek
10,18.3,22.7,27.6,11.1,6.0,0.19,7.0,turkije,belek
11,12.6,17.0,22.9,11.3,14.0,0.48,71.0,turkije,belek
12,9.5,13.1,17.3,11.6,18.0,0.57,252.0,turkije,belek
1,9.6,13.0,16.3,8.3,16.0,0.52,41.0,turkije,bodrum
2,10.4,13.5,17.3,8.3,7.0,0.24,34.0,turkije,bodrum
3,11.5,14.7,18.5,7.8,14.0,0.44,58.0,turkije,bodrum
4,14.6,17.7,22.5,8.2,10.0,0.33,51.0,turkije,bodrum
5,18.6,22.3,27.1,7.0,10.0,0.31,27.0,turkije,bodrum
6,22.6,27.1,32.3,7.2,3.0,0.1,0.0,turkije,bodrum
7,25.7,30.4,36.3,8.1,0.0,0.0,0.0,turkije,bodrum
8,25.5,29.7,35.6,6.3,2.0,0.05,0.0,turkije,bodrum
9,23.2,27.1,32.2,6.4,3.0,0.11,1.0,turkije,bodrum
10,19.4,22.5,27.2,5.1,3.0,0.1,0.0,turkije,bodrum
11,16.0,18.5,22.1,6.9,15.0,0.49,74.0,turkije,bodrum
12,11.7,14.4,18.2,7.3,14.0,0.46,93.0,turkije,bodrum
1,7.3,11.4,16.0,13.5,16.0,0.52,75.0,turkije,dalyan
2,7.5,11.9,17.0,13.5,8.0,0.28,58.0,turkije,dalyan
3,7.9,13.1,18.5,13.0,13.0,0.42,103.0,turkije,dalyan
4,10.7,16.5,21.7,12.8,10.0,0.33,52.0,turkije,dalyan
5,15.4,21.1,26.0,12.6,11.0,0.35,30.0,turkije,dalyan
6,18.9,24.8,30.0,13.0,5.0,0.18,1.0,turkije,dalyan
7,22.3,28.0,33.5,13.9,1.0,0.02,0.0,turkije,dalyan
8,22.4,27.7,32.4,12.2,2.0,0.07,0.0,turkije,dalyan
9,19.2,25.2,30.9,12.3,6.0,0.19,5.0,turkije,dalyan
10,15.5,20.9,26.5,11.2,4.0,0.13,3.0,turkije,dalyan
11,10.8,16.2,22.3,11.8,12.0,0.41,79.0,turkije,dalyan
12,9.2,13.0,17.5,12.0,15.0,0.49,156.0,turkije,dalyan
1,7.3,11.4,16.0,13.5,16.0,0.52,75.0,turkije,fethiye
2,7.5,11.9,17.0,13.5,8.0,0.28,58.0,turkije,fethiye
3,7.9,13.1,18.5,13.0,13.0,0.42,103.0,turkije,fethiye
4,10.7,16.5,21.7,12.8,10.0,0.33,52.0,turkije,fethiye
5,15.4,21.1,26.0,12.6,11.0,0.35,30.0,turkije,fethiye
