m,coco,coco_pct
5,18.0,0.014
8,3.0,0.008
3,3.0,0.26
5,27.0,0.0
2,27.0,0.0
7,18.0,0.0
9,2.0,0.222
3,27.0,0.0
10,18.0,0.03
4,4.0,0.043
4,9.0,0.0
11,22.0,0.0
9,23.0,0.001
1,17.0,0.058
12,23.0,0.002
4,23.0,0.0
7,17.0,0.001
10,3.0,0.107
9,8.0,0.0
10,22.0,0.0
10,17.0,0.007
11,27.0,0.004
8,26.0,0.0
11,4.0,0.019
4,2.0,0.297
11,23.0,0.002
7,5.0,0.0
3,5.0,0.002
8,8.0,0.0
7,26.0,0.0
6,5.0,0.0
10,1.0,0.554
7,9.0,0.0
5,5.0,0.0
6,26.0,0.0
3,23.0,0.0
7,27.0,0.0
1,2.0,0.154
9,9.0,0.0
5,23.0,0.0
5,26.0,0.0
4,8.0,0.0
5,4.0,0.024
5,8.0,0.0
2,8.0,0.0
5,17.0,0.005
8,5.0,0.0
9,7.0,0.0
10,5.0,0.001
2,25.0,0.032
8,23.0,0.0
3,18.0,0.064
1,18.0,0.133
12,2.0,0.199
9,17.0,0.001
12,18.0,0.13
12,7.0,0.001
3,4.0,0.041
6,22.0,0.0
1,1.0,0.27
5,7.0,0.0
10,8.0,0.0
1,5.0,0.002
1,22.0,0.0
2,7.0,0.001
3,7.0,0.0
7,8.0,0.0
11,26.0,0.0
11,9.0,0.0
1,26.0,0.002
4,22.0,0.0
2,2.0,0.208
2,23.0,0.001
10,9.0,0.0
6,18.0,0.005
8,17.0,0.0
4,27.0,0.0
7,4.0,0.0
8,2.0,0.162
11,8.0,0.0
5,3.0,0.219
5,22.0,0.0
12,3.0,0.253
8,27.0,0.0
4,25.0,0.011
4,18.0,0.033
12,5.0,0.005
2,22.0,0.0
6,1.0,0.592
12,25.0,0.08
6,7.0,0.0
12,9.0,0.0
2,1.0,0.348
12,1.0,0.254
10,26.0,0.0
11,7.0,0.001
9,26.0,0.0
1,23.0,0.001
5,9.0,0.0
3,22.0,0.0
3,25.0,0.025
3,9.0,0.0
6,25.0,0.006
2,18.0,0.062
8,1.0,0.83
4,17.0,0.011
11,25.0,0.056
8,22.0,0.0
11,1.0,0.368
1,4.0,0.041
2,26.0,0.0
5,2.0,0.334
3,1.0,0.297
1,8.0,0.0
10,25.0,0.021
12,26.0,0.0
4,26.0,0.0
10,7.0,0.0
11,18.0,0.081
6,8.0,0.0
8,18.0,0.0
7,23.0,0.0
3,2.0,0.283
9,1.0,0.705
2,17.0,0.055
5,25.0,0.011
9,27.0,0.0
1,7.0,0.001
11,3.0,0.196
6,4.0,0.003
1,27.0,0.0
2,9.0,0.0
11,5.0,0.002
5,1.0,0.393
4,1.0,0.334
10,4.0,0.007
6,27.0,0.0
7,3.0,0.007
7,7.0,0.0
12,27.0,0.0
4,7.0,0.0
12,17.0,0.048
10,2.0,0.272
11,17.0,0.022
3,8.0,0.0
6,17.0,0.004
7,22.0,0.0
3,26.0,0.0
1,9.0,0.0
2,3.0,0.25
2,5.0,0.002
7,1.0,0.866
8,9.0,0.0
6,3.0,0.082
1,3.0,0.271
7,25.0,0.0
9,25.0,0.009
9,18.0,0.006
8,7.0,0.0
3,17.0,0.026
10,23.0,0.001
12,22.0,0.0
9,22.0,0.0
11,2.0,0.249
9,4.0,0.001
8,4.0,0.0
6,9.0,0.0
12,8.0,0.0
2,4.0,0.042
6,23.0,0.001
9,5.0,0.0
1,25.0,0.068
8,25.0,0.0
12,4.0,0.029
4,5.0,0.0
4,3.0,0.269
7,2.0,0.126
10,27.0,0.002
9,3.0,0.054
6,2.0,0.308
