m,m3,coco,coco_pct
11,2,18.0,0.066
5,3,26.0,0.0
6,2,2.0,0.405
8,1,1.0,0.826
6,2,27.0,0.0
9,3,2.0,0.233
11,2,4.0,0.012
6,1,1.0,0.518
9,1,8.0,0.0
2,3,8.0,0.0
10,2,18.0,0.037
11,1,27.0,0.0
7,2,4.0,0.001
4,1,1.0,0.206
5,2,3.0,0.161
10,1,2.0,0.27
5,1,1.0,0.275
7,3,25.0,0.0
3,1,5.0,0.005
9,2,1.0,0.712
3,1,1.0,0.27
4,1,25.0,0.019
2,1,1.0,0.348
6,1,26.0,0.0
9,1,23.0,0.001
1,3,27.0,0.0
2,1,26.0,0.0
3,1,26.0,0.0
8,2,3.0,0.005
4,3,23.0,0.0
7,1,26.0,0.0
9,3,22.0,0.0
3,2,3.0,0.252
3,2,25.0,0.04
10,3,8.0,0.0
10,3,1.0,0.597
9,2,9.0,0.0
11,1,18.0,0.028
10,1,5.0,0.0
7,3,22.0,0.0
10,1,3.0,0.058
3,1,8.0,0.0
9,2,2.0,0.215
1,2,3.0,0.271
1,2,22.0,0.0
8,1,5.0,0.0
9,1,22.0,0.0
3,3,2.0,0.275
6,1,23.0,0.0
8,3,8.0,0.0
9,1,17.0,0.0
5,3,9.0,0.0
2,2,3.0,0.224
2,2,4.0,0.052
8,3,22.0,0.0
8,1,4.0,0.001
4,2,7.0,0.0
9,1,26.0,0.0
1,3,5.0,0.0
5,3,18.0,0.013
10,2,1.0,0.429
11,1,3.0,0.152
2,1,4.0,0.026
6,2,5.0,0.0
3,2,22.0,0.0
5,2,4.0,0.023
4,2,27.0,0.0
6,3,26.0,0.0
12,1,2.0,0.207
1,1,5.0,0.005
2,2,2.0,0.203
7,2,18.0,0.001
4,3,22.0,0.0
5,1,26.0,0.001
5,1,5.0,0.0
12,3,26.0,0.001
3,2,23.0,0.0
6,2,1.0,0.443
11,3,3.0,0.255
7,2,23.0,0.0
3,3,8.0,0.0
1,1,9.0,0.0
10,2,3.0,0.151
1,2,18.0,0.121
12,1,17.0,0.023
6,3,2.0,0.171
5,2,18.0,0.007
2,1,8.0,0.0
4,2,9.0,0.0
8,3,2.0,0.199
4,1,9.0,0.0
10,2,22.0,0.0
