m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,4.9,8.8,13.1,10.1,6.0,0.55,14.0
1,2,2.9,7.4,11.7,15.2,4.0,0.44,24.0
1,3,3.3,7.5,12.5,14.0,5.0,0.46,30.0
2,1,4.2,8.4,14.0,15.2,5.0,0.45,30.0
2,2,3.8,8.6,14.1,16.2,2.0,0.23,3.0
2,3,5.5,10.1,15.5,14.2,3.0,0.33,1.0
3,1,6.1,11.3,16.6,11.8,6.0,0.57,16.0
3,2,5.5,10.7,15.6,17.7,5.0,0.48,14.0
3,3,6.0,11.8,17.5,16.9,4.0,0.34,3.0
4,1,9.0,14.5,19.8,15.4,6.0,0.55,8.0
4,2,10.0,16.0,22.1,13.7,5.0,0.5,7.0
4,3,10.9,17.3,24.2,14.4,2.0,0.15,0.0
5,1,12.7,18.7,24.1,15.7,2.0,0.2,5.0
5,2,14.0,21.2,27.9,14.1,2.0,0.18,0.0
5,3,15.7,22.1,27.7,14.8,4.0,0.32,3.0
6,1,17.5,24.7,31.0,16.3,3.0,0.33,1.0
6,2,18.5,24.9,30.6,16.1,4.0,0.38,3.0
6,3,21.7,27.7,33.0,20.5,1.0,0.05,0.0
7,1,22.8,28.7,34.5,21.4,1.0,0.1,0.0
7,2,23.3,28.9,34.6,24.2,1.0,0.05,0.0
7,3,23.8,29.7,35.6,22.9,0.0,0.0,0.0
8,1,22.9,29.3,35.4,22.2,0.0,0.0,0.0
8,2,22.5,28.6,34.6,21.6,0.0,0.03,0.0
8,3,21.6,27.7,34.5,16.5,2.0,0.17,0.0
9,1,21.0,26.5,32.5,21.5,2.0,0.17,0.0
9,2,18.9,24.6,31.0,19.4,1.0,0.1,0.0
9,3,16.4,22.0,28.9,15.1,2.0,0.18,1.0
10,1,15.1,20.7,27.1,16.1,1.0,0.1,0.0
10,2,14.4,19.2,25.2,15.9,3.0,0.25,1.0
10,3,11.5,17.5,24.0,14.6,1.0,0.07,0.0
11,1,11.0,16.3,22.6,14.7,3.0,0.25,1.0
11,2,8.8,13.6,18.8,13.2,4.0,0.4,16.0
11,3,8.1,12.6,17.3,14.1,7.0,0.73,51.0
12,1,6.5,10.6,15.4,11.6,7.0,0.68,24.0
12,2,7.5,11.2,15.0,13.5,5.0,0.48,25.0
12,3,4.9,9.4,13.9,13.0,5.0,0.41,14.0
