m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,5.3,8.4,11.8,0.0,10.1,0.25
1,1,2,4.0,8.5,13.1,0.1,12.4,0.5
1,1,3,3.8,8.2,14.0,0.2,8.6,0.6
1,1,4,4.8,8.8,15.0,0.2,9.5,0.6
1,1,5,5.4,9.1,14.0,1.3,9.1,0.4
1,1,6,2.9,8.6,12.3,0.2,9.5,0.4
1,1,7,5.5,9.4,12.1,2.6,17.7,0.6
1,1,8,5.0,9.5,13.1,1.1,13.9,0.6
1,1,9,4.0,8.8,13.0,4.9,10.2,0.8
1,1,10,5.9,8.8,14.0,3.5,17.3,0.8
1,2,11,6.0,8.9,13.1,5.3,12.3,0.6
1,2,12,6.6,9.8,12.1,3.7,15.7,0.4
1,2,13,5.0,8.2,11.3,4.6,19.9,0.4
1,2,14,1.9,6.0,11.1,0.5,10.2,0.4
1,2,15,1.5,6.7,11.1,4.2,14.6,0.6
1,2,16,2.3,5.7,10.3,3.6,19.9,0.4
1,2,17,1.3,6.5,13.0,0.0,13.6,0.2
1,2,18,3.0,7.6,11.0,1.1,20.8,0.6
1,2,19,5.2,8.6,12.0,0.1,18.9,0.4
1,2,20,2.7,7.2,12.0,1.2,13.7,0.4
1,3,21,5.0,7.2,11.0,2.5,17.0,0.6
1,3,22,3.8,7.9,12.5,3.3,13.9,0.8
1,3,23,1.5,6.9,12.6,0.1,14.0,0.6
1,3,24,2.0,7.6,13.0,0.1,16.3,0.4
1,3,25,4.0,7.4,14.0,5.2,16.7,0.6
1,3,26,4.4,8.2,12.1,0.0,18.1,0.2
1,3,27,2.5,7.9,14.0,15.1,10.9,0.6
1,3,28,3.3,6.3,12.0,0.9,8.5,0.5
1,3,29,1.4,6.0,12.0,0.0,13.8,0.0
1,3,30,4.0,7.8,12.1,2.8,14.5,0.5
1,3,31,1.8,7.5,13.0,0.0,10.8,0.25
2,1,1,2.5,7.7,14.0,3.2,15.3,0.5
2,1,2,4.0,9.2,14.5,12.3,13.6,0.5
2,1,3,6.0,10.0,14.5,8.3,15.1,0.75
2,1,4,5.1,9.7,13.9,0.0,12.9,0.25
2,1,5,5.5,8.1,15.5,0.0,15.4,0.25
2,1,6,3.9,8.5,14.8,0.0,10.1,0.25
2,1,7,3.5,8.1,12.6,0.0,19.4,0.25
2,1,8,5.5,8.3,11.6,4.4,21.5,0.75
2,1,9,3.0,8.0,12.5,1.1,15.2,0.5
2,1,10,4.4,8.4,14.0,0.2,14.1,0.5
2,2,11,5.5,11.0,16.8,0.2,16.7,0.5
2,2,12,5.0,10.7,16.0,2.8,15.1,0.5
2,2,13,5.3,9.2,14.0,0.0,15.7,0.25
2,2,14,3.5,8.4,12.5,0.0,18.0,0.25
2,2,15,5.3,7.9,10.6,0.0,23.0,0.25
2,2,16,3.4,8.1,13.5,0.0,25.3,0.0
2,2,17,3.0,7.7,14.0,0.0,18.6,0.0
2,2,18,3.0,8.6,15.5,0.2,11.3,0.5
2,2,19,3.5,9.1,15.6,0.0,9.3,0.0
2,2,20,4.0,8.7,14.2,0.0,6.9,0.0
2,3,21,6.4,10.1,15.5,0.0,13.9,0.25
2,3,22,5.5,10.0,15.3,0.0,12.3,0.25
2,3,23,5.2,9.8,15.5,0.4,11.3,0.5
2,3,24,4.5,9.2,15.7,0.0,17.9,0.25
2,3,25,5.5,9.6,14.6,0.0,20.5,0.25
2,3,26,5.0,10.4,15.6,0.1,14.2,0.5
2,3,27,7.5,12.6,18.0,0.2,19.3,0.5
2,3,28,5.5,11.1,14.6,0.4,13.7,0.5
2,3,29,5.5,10.3,16.0,0.0,17.7,0.0
3,1,1,3.5,10.3,15.5,0.0,13.2,0.25
3,1,2,5.8,10.2,14.0,0.9,18.2,0.75
3,1,3,6.3,11.4,17.2,0.0,15.7,0.25
3,1,4,6.5,11.5,15.9,0.0,14.0,0.25
3,1,5,4.5,10.1,15.5,8.6,10.0,0.75
3,1,6,7.5,12.0,17.0,2.0,11.4,1.0
3,1,7,6.5,11.6,17.0,1.3,10.8,0.75
3,1,8,5.9,11.0,17.0,2.4,12.1,0.75
3,1,9,5.9,11.1,16.1,0.1,11.5,0.5
3,1,10,6.9,11.5,18.0,0.2,11.4,0.5
3,2,11,6.5,10.8,16.5,9.0,16.1,0.75
3,2,12,6.5,10.5,15.1,1.1,19.2,0.5
3,2,13,5.3,11.4,16.0,0.0,20.9,0.25
3,2,14,5.5,11.1,15.6,0.1,13.8,0.5
3,2,15,5.5,11.3,14.5,1.9,15.2,0.75
3,2,16,5.5,10.0,14.3,1.0,12.1,0.5
3,2,17,4.5,10.1,16.5,0.3,15.1,0.5
3,2,18,6.0,9.9,15.8,0.0,19.7,0.25
3,2,19,5.0,10.4,15.0,0.0,20.5,0.25
3,2,20,7.3,11.4,15.6,0.6,19.5,0.5
3,3,21,4.5,11.8,16.6,0.0,16.9,0.0
3,3,22,6.6,12.0,16.6,1.2,18.5,0.75
3,3,23,6.5,11.8,17.5,0.0,21.9,0.25
3,3,24,5.6,10.4,16.0,0.0,18.9,0.25
3,3,25,4.5,10.9,17.5,1.2,15.1,0.75
3,3,26,6.3,11.8,18.0,0.0,12.1,0.0
3,3,27,5.4,12.5,18.8,0.0,14.1,0.25
3,3,28,6.4,13.3,18.3,0.4,11.0,0.5
3,3,29,6.0,11.8,16.1,0.5,16.8,0.75
3,3,30,5.5,10.8,17.5,0.0,20.8,0.0
3,3,31,6.5,12.2,19.0,0.0,20.6,0.25
4,1,1,7.3,14.9,20.3,0.1,16.9,0.5
4,1,2,8.9,13.5,19.5,0.0,15.0,0.25
4,1,3,9.0,14.5,20.5,0.2,14.9,0.75
4,1,4,8.4,14.8,20.0,2.2,12.2,0.5
4,1,5,10.0,14.5,21.5,2.0,10.0,0.75
4,1,6,10.0,14.4,18.6,0.4,13.8,0.5
4,1,7,10.5,13.9,18.5,2.5,15.8,1.0
4,1,8,9.9,15.1,20.1,0.7,20.4,0.5
4,1,9,8.0,13.3,19.1,0.0,18.8,0.25
4,1,10,8.8,14.1,19.5,0.2,18.9,0.5
4,2,11,9.9,14.6,20.0,0.1,18.9,0.5
4,2,12,8.0,15.1,22.0,0.0,14.7,0.25
4,2,13,7.4,15.5,24.0,0.1,10.1,0.5
4,2,14,7.9,16.5,22.9,0.0,13.1,0.0
4,2,15,10.0,17.1,23.1,0.0,13.5,0.0
4,2,16,10.0,16.4,23.0,0.2,13.9,0.5
4,2,17,10.0,16.9,22.1,0.2,13.6,0.75
4,2,18,10.8,16.6,20.5,1.5,13.8,1.0
4,2,19,10.0,14.5,19.0,4.3,12.5,1.0
4,2,20,9.5,14.5,19.6,0.3,17.2,0.5
4,3,21,8.4,14.4,20.7,0.0,15.9,0.0
4,3,22,9.0,15.6,21.1,0.0,16.5,0.25
4,3,23,10.7,17.5,24.3,0.0,10.6,0.25
4,3,24,11.0,17.1,24.1,0.0,14.7,0.25
4,3,25,10.9,17.1,24.0,0.0,12.0,0.25
4,3,26,11.5,17.0,23.7,0.0,12.9,0.25
4,3,27,9.4,17.8,26.0,0.0,10.4,0.25
4,3,28,10.9,17.9,25.3,0.0,14.6,0.0
4,3,29,12.5,19.6,27.0,0.0,14.2,0.0
4,3,30,11.4,19.0,24.9,0.0,16.9,0.0
5,1,1,12.8,19.3,26.0,0.0,15.2,0.0
5,1,2,12.3,19.4,26.3,0.0,9.5,0.25
5,1,3,12.5,19.3,26.5,0.7,11.0,0.75
5,1,4,12.9,18.9,23.8,3.9,14.1,0.5
5,1,5,12.8,18.3,24.0,0.0,17.8,0.25
5,1,6,13.0,17.7,23.5,0.0,16.9,0.0
5,1,7,12.0,17.4,23.5,0.0,16.2,0.0
