m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,5.5,8.6,11.5,16.5,4.0,0.43,19.0
1,2,2.8,6.1,10.2,15.7,6.0,0.6,29.0
1,3,3.9,6.9,10.1,14.1,7.0,0.64,17.0
2,1,5.4,8.0,11.6,16.9,6.0,0.57,11.0
2,2,3.3,6.8,10.1,15.6,5.0,0.48,11.0
2,3,4.4,8.4,12.1,16.8,3.0,0.31,2.0
3,1,5.4,9.1,12.4,12.9,7.0,0.68,14.0
3,2,5.3,9.2,12.8,14.9,7.0,0.7,35.0
3,3,5.0,8.3,13.9,15.0,7.0,0.61,14.0
4,1,7.9,11.5,15.9,16.1,6.0,0.57,20.0
4,2,8.7,12.6,17.3,13.8,6.0,0.63,19.0
4,3,10.7,14.9,19.3,12.5,4.0,0.43,2.0
5,1,11.1,14.9,19.7,13.3,4.0,0.43,3.0
5,2,14.2,18.2,23.2,13.9,4.0,0.35,10.0
5,3,14.8,19.1,23.6,13.9,5.0,0.45,6.0
6,1,17.4,21.0,25.8,13.5,3.0,0.3,2.0
6,2,18.6,22.5,26.4,14.1,6.0,0.55,13.0
6,3,19.5,23.3,28.1,15.6,4.0,0.38,3.0
7,1,21.3,25.0,29.1,15.5,5.0,0.45,7.0
7,2,20.5,24.8,29.0,16.2,3.0,0.25,1.0
7,3,21.3,25.4,30.5,15.3,2.0,0.2,0.0
8,1,22.4,26.0,30.9,16.9,3.0,0.25,1.0
8,2,21.6,24.9,29.2,18.3,3.0,0.3,1.0
8,3,21.8,25.7,30.0,16.2,3.0,0.24,1.0
9,1,20.1,23.0,27.2,17.8,5.0,0.53,5.0
9,2,18.6,22.3,26.5,16.1,4.0,0.38,2.0
9,3,16.6,19.6,24.6,13.6,5.0,0.48,7.0
10,1,14.9,19.0,22.9,14.6,6.0,0.57,6.0
10,2,14.7,17.4,21.5,14.9,6.0,0.55,5.0
10,3,12.4,15.5,20.2,13.1,1.0,0.11,0.0
11,1,12.0,15.2,19.6,14.4,4.0,0.38,7.0
11,2,9.8,13.1,16.2,15.9,4.0,0.4,7.0
11,3,8.6,12.0,15.0,16.1,7.0,0.65,23.0
12,1,7.5,10.2,13.2,14.1,6.0,0.63,17.0
12,2,7.1,9.9,12.4,14.9,6.0,0.63,39.0
12,3,6.5,8.9,12.0,14.3,5.0,0.45,10.0
