m,m3,coco,coco_pct
11,2,7.0,0.041
4,2,27.0,0.0
7,3,15.0,0.0
9,1,16.0,0.0
5,3,17.0,0.035
11,2,16.0,0.0
2,1,26.0,0.0
10,3,9.0,0.0
12,1,17.0,0.024
2,2,7.0,0.07
11,2,14.0,0.0
4,1,17.0,0.032
4,3,5.0,0.009
6,1,16.0,0.0
3,1,15.0,0.0
12,3,7.0,0.046
5,3,12.0,0.0
5,1,2.0,0.222
3,1,27.0,0.0
2,2,21.0,0.049
2,3,7.0,0.017
5,1,20.0,0.0
9,2,1.0,0.395
6,3,13.0,0.0
2,3,20.0,0.0
9,1,1.0,0.375
7,2,15.0,0.0
7,1,20.0,0.0
4,2,26.0,0.0
3,3,9.0,0.012
2,2,16.0,0.0
6,3,1.0,0.507
10,3,22.0,0.0
1,3,7.0,0.013
5,1,14.0,0.0
11,1,17.0,0.029
9,1,12.0,0.0
7,1,14.0,0.0
10,3,20.0,0.0
3,1,18.0,0.019
2,1,21.0,0.019
7,2,9.0,0.001
3,3,23.0,0.001
5,3,15.0,0.0
10,3,15.0,0.0
11,2,2.0,0.166
11,2,23.0,0.0
4,1,13.0,0.0
2,1,5.0,0.03
12,3,19.0,0.002
1,2,12.0,0.003
5,2,4.0,0.014
8,1,22.0,0.0
10,1,14.0,0.0
2,3,5.0,0.084
9,3,9.0,0.007
9,1,17.0,0.029
6,3,7.0,0.007
7,3,20.0,0.0
12,3,15.0,0.0
7,1,12.0,0.0
7,2,16.0,0.0
12,2,1.0,0.179
12,3,17.0,0.064
1,1,5.0,0.019
6,1,27.0,0.0
8,1,4.0,0.0
2,3,23.0,0.0
11,2,13.0,0.0
10,2,20.0,0.0
9,3,18.0,0.027
1,2,27.0,0.0
1,3,2.0,0.138
8,2,21.0,0.0
6,2,17.0,0.038
7,3,17.0,0.016
4,3,20.0,0.0
8,1,27.0,0.0
2,2,26.0,0.0
8,3,23.0,0.0
2,3,21.0,0.001
8,1,5.0,0.001
8,1,12.0,0.0
2,2,2.0,0.122
11,2,19.0,0.0
6,3,2.0,0.255
11,1,7.0,0.009
5,3,8.0,0.004
2,2,8.0,0.019
7,3,23.0,0.001
10,3,4.0,0.012
7,2,27.0,0.0
5,3,22.0,0.0
11,1,12.0,0.0
10,3,21.0,0.0
6,2,2.0,0.273
7,1,16.0,0.0
5,3,27.0,0.0
6,2,16.0,0.0
7,3,9.0,0.001
3,2,9.0,0.006
3,3,5.0,0.021
4,1,7.0,0.032
2,2,25.0,0.0
3,3,3.0,0.293
8,3,25.0,0.0
7,1,23.0,0.0
1,1,1.0,0.259
10,2,9.0,0.011
9,2,3.0,0.182
4,3,23.0,0.0
11,3,9.0,0.024
6,3,9.0,0.003
5,1,9.0,0.007
4,1,15.0,0.0
1,3,26.0,0.0
2,3,12.0,0.006
7,2,21.0,0.0
1,1,19.0,0.001
9,2,23.0,0.001
6,1,21.0,0.0
6,1,8.0,0.005
7,2,19.0,0.0
10,1,13.0,0.0
4,1,27.0,0.0
3,3,25.0,0.002
8,2,27.0,0.0
5,2,14.0,0.0
5,1,21.0,0.0
1,2,17.0,0.045
10,1,15.0,0.0
9,2,14.0,0.0
10,3,26.0,0.001
1,2,8.0,0.048
4,2,22.0,0.0
3,2,27.0,0.0
9,1,4.0,0.005
3,2,12.0,0.0
9,2,12.0,0.0
2,2,3.0,0.317
5,2,2.0,0.18
1,2,26.0,0.0
12,1,14.0,0.0
3,2,16.0,0.0
6,2,5.0,0.008
5,1,8.0,0.012
5,1,4.0,0.038
11,3,18.0,0.063
4,1,12.0,0.0
5,1,25.0,0.006
4,2,19.0,0.0
1,3,22.0,0.002
5,1,5.0,0.028
7,3,27.0,0.001
11,3,19.0,0.0
6,3,14.0,0.0
1,2,19.0,0.002
2,1,1.0,0.241
9,3,23.0,0.001
4,3,3.0,0.257
10,3,2.0,0.269
11,3,12.0,0.0
7,1,26.0,0.0
4,3,12.0,0.0
12,2,3.0,0.364
2,2,18.0,0.015
5,1,3.0,0.297
10,1,20.0,0.0
6,3,23.0,0.0
8,1,18.0,0.002
4,1,22.0,0.0
12,2,20.0,0.0
1,2,21.0,0.021
9,1,3.0,0.191
6,2,8.0,0.009
1,3,18.0,0.018
12,3,5.0,0.018
8,2,19.0,0.0
8,2,25.0,0.0
2,2,9.0,0.007
6,2,15.0,0.0
3,1,5.0,0.052
4,2,13.0,0.0
5,1,26.0,0.0
4,3,1.0,0.444
9,1,22.0,0.0
9,3,7.0,0.01
10,2,26.0,0.0
2,2,22.0,0.005
8,1,15.0,0.0
6,2,13.0,0.0
4,3,18.0,0.006
10,3,25.0,0.002
6,3,3.0,0.162
1,1,2.0,0.135
3,1,12.0,0.0
2,3,4.0,0.09
1,3,12.0,0.003
12,1,22.0,0.0
6,2,23.0,0.001
2,1,17.0,0.066
7,2,13.0,0.0
12,3,18.0,0.021
9,3,14.0,0.0
4,2,17.0,0.038
5,3,20.0,0.0
6,1,25.0,0.002
9,1,27.0,0.0
11,3,16.0,0.0
3,2,20.0,0.0
2,2,4.0,0.07
2,3,18.0,0.061
9,3,19.0,0.0
11,2,4.0,0.033
11,3,27.0,0.0
11,1,2.0,0.179
7,1,17.0,0.015
7,3,5.0,0.004
11,1,21.0,0.0
4,3,22.0,0.0
6,1,20.0,0.0
8,1,7.0,0.001
10,1,25.0,0.002
4,3,7.0,0.008
6,3,22.0,0.0
4,3,9.0,0.008
10,1,7.0,0.01
10,3,1.0,0.41
7,3,4.0,0.002
5,2,25.0,0.001
3,1,8.0,0.016
7,2,5.0,0.001
1,3,16.0,0.0
3,2,23.0,0.0
11,3,1.0,0.159
9,3,1.0,0.366
9,3,17.0,0.024
2,3,27.0,0.0
4,1,9.0,0.007
8,1,21.0,0.0
12,2,27.0,0.0
11,1,4.0,0.039
5,2,27.0,0.0
8,3,16.0,0.0
12,1,9.0,0.009
12,2,2.0,0.082
12,2,4.0,0.091
3,1,3.0,0.325
10,2,27.0,0.0
2,3,22.0,0.0
