m,coco,coco_pct
7,7.0,0.0
7,2.0,0.262
5,27.0,0.0
4,17.0,0.016
6,1.0,0.463
8,27.0,0.0
5,17.0,0.009
4,25.0,0.023
7,25.0,0.003
8,23.0,0.0
9,4.0,0.001
12,2.0,0.212
2,19.0,0.0
3,27.0,0.0
9,21.0,0.0
11,7.0,0.0
3,26.0,0.001
9,23.0,0.0
8,18.0,0.0
6,23.0,0.0
2,1.0,0.356
6,25.0,0.02
8,21.0,0.0
7,1.0,0.708
5,21.0,0.0
5,26.0,0.0
11,3.0,0.176
8,26.0,0.0
9,5.0,0.001
8,17.0,0.0
11,5.0,0.002
9,7.0,0.0
3,2.0,0.304
9,25.0,0.01
8,7.0,0.0
10,27.0,0.001
3,5.0,0.002
8,3.0,0.026
5,4.0,0.011
2,25.0,0.049
4,26.0,0.0
4,3.0,0.25
5,5.0,0.003
11,2.0,0.237
3,4.0,0.022
6,21.0,0.0
8,5.0,0.002
2,3.0,0.224
3,17.0,0.038
1,7.0,0.0
2,27.0,0.0
11,18.0,0.066
10,5.0,0.0
10,3.0,0.109
8,4.0,0.0
1,26.0,0.002
1,21.0,0.0
8,1.0,0.59
9,26.0,0.0
2,21.0,0.0
6,17.0,0.003
6,19.0,0.0
1,5.0,0.018
11,23.0,0.002
6,7.0,0.0
11,25.0,0.054
2,4.0,0.016
6,3.0,0.101
3,18.0,0.05
5,23.0,0.0
7,19.0,0.0
3,21.0,0.0
11,1.0,0.43
2,26.0,0.0
10,18.0,0.015
6,5.0,0.003
1,17.0,0.061
1,3.0,0.238
12,23.0,0.0
4,27.0,0.0
2,17.0,0.086
2,2.0,0.217
2,18.0,0.044
12,17.0,0.068
5,3.0,0.176
7,5.0,0.001
6,2.0,0.381
10,26.0,0.0
12,25.0,0.087
10,17.0,0.003
8,25.0,0.002
6,4.0,0.003
12,26.0,0.001
4,7.0,0.0
12,4.0,0.014
4,21.0,0.0
1,25.0,0.081
7,27.0,0.0
10,19.0,0.0
7,3.0,0.024
5,19.0,0.0
9,18.0,0.006
11,17.0,0.024
4,2.0,0.359
3,25.0,0.026
9,27.0,0.0
11,27.0,0.003
9,1.0,0.595
10,23.0,0.001
10,7.0,0.0
5,18.0,0.02
11,21.0,0.0
5,2.0,0.376
12,1.0,0.289
10,25.0,0.022
1,19.0,0.0
8,19.0,0.0
10,2.0,0.319
2,23.0,0.0
3,19.0,0.0
12,5.0,0.014
2,5.0,0.008
3,1.0,0.316
12,21.0,0.0
5,25.0,0.032
12,7.0,0.0
12,18.0,0.099
2,7.0,0.0
12,27.0,0.0
9,17.0,0.001
6,27.0,0.0
4,19.0,0.0
4,1.0,0.321
8,2.0,0.378
3,7.0,0.0
4,4.0,0.01
5,7.0,0.0
10,21.0,0.0
6,18.0,0.026
7,17.0,0.0
6,26.0,0.0
1,27.0,0.0
9,3.0,0.053
7,4.0,0.0
12,19.0,0.0
7,18.0,0.002
1,23.0,0.0
5,1.0,0.374
3,23.0,0.0
10,1.0,0.527
9,19.0,0.0
7,23.0,0.0
1,2.0,0.196
11,4.0,0.008
10,4.0,0.003
11,19.0,0.0
4,5.0,0.006
11,26.0,0.0
3,3.0,0.242
1,18.0,0.09
1,4.0,0.022
12,3.0,0.217
7,26.0,0.0
1,1.0,0.293
9,2.0,0.333
4,18.0,0.015
4,23.0,0.0
7,21.0,0.0
