m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,8.1,11.9,16.8,11.6,6.0,0.55,63.0
1,2,7.2,10.9,15.5,15.1,6.0,0.6,65.0
1,3,6.7,10.4,15.5,13.4,6.0,0.52,70.0
2,1,7.5,11.1,15.7,14.3,5.0,0.51,11.0
2,2,7.4,11.6,16.5,13.4,4.0,0.35,19.0
2,3,8.6,12.7,17.0,12.1,5.0,0.56,36.0
3,1,8.6,13.5,18.1,12.2,4.0,0.41,12.0
3,2,8.8,13.7,18.3,14.3,5.0,0.48,28.0
3,3,9.4,14.5,19.4,14.0,4.0,0.38,12.0
4,1,11.5,16.3,20.9,10.9,4.0,0.35,5.0
4,2,12.6,17.8,22.7,12.1,2.0,0.15,0.0
4,3,13.7,19.5,24.8,11.2,2.0,0.15,0.0
5,1,15.4,20.7,25.2,13.2,2.0,0.23,6.0
5,2,17.1,22.9,28.5,11.2,2.0,0.18,0.0
5,3,18.2,23.0,28.4,12.6,3.0,0.29,3.0
6,1,19.5,24.1,29.8,11.3,1.0,0.12,0.0
6,2,20.5,25.2,29.2,11.0,3.0,0.31,3.0
6,3,23.4,28.3,33.5,13.6,0.0,0.03,0.0
7,1,24.4,29.5,34.9,13.5,0.0,0.03,0.0
7,2,25.6,30.5,35.8,12.5,0.0,0.03,0.0
7,3,25.9,30.7,36.0,14.0,1.0,0.07,0.0
8,1,25.8,30.2,34.6,11.2,0.0,0.0,0.0
8,2,24.8,29.7,35.0,11.9,0.0,0.0,0.0
8,3,24.0,29.0,34.0,11.7,2.0,0.17,1.0
9,1,23.5,28.3,33.6,11.6,1.0,0.08,0.0
9,2,22.3,27.1,32.1,12.0,1.0,0.12,0.0
9,3,20.5,25.2,30.8,12.2,1.0,0.12,0.0
10,1,19.1,23.8,29.2,11.8,1.0,0.12,0.0
10,2,18.4,22.7,27.3,11.6,3.0,0.32,6.0
10,3,15.2,20.8,26.6,10.7,1.0,0.13,1.0
11,1,14.6,19.6,25.4,10.8,3.0,0.29,7.0
11,2,12.4,17.0,22.9,11.2,5.0,0.49,16.0
11,3,11.7,15.5,20.0,12.1,6.0,0.65,49.0
12,1,10.0,13.8,18.1,10.5,7.0,0.65,45.0
12,2,9.9,13.1,17.3,12.2,6.0,0.58,117.0
12,3,8.2,11.8,17.0,12.6,5.0,0.48,90.0
