m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,9.7,13.2,16.9,7.7,6.0,0.57,15.0
1,2,5.8,10.3,13.7,9.5,5.0,0.46,31.0
1,3,6.1,10.5,14.7,10.8,5.0,0.44,27.0
2,1,6.7,10.7,14.6,9.9,4.0,0.38,23.0
2,2,6.8,10.6,15.0,7.9,3.0,0.32,5.0
2,3,7.3,11.7,15.7,8.5,3.0,0.33,6.0
3,1,9.0,13.0,17.4,8.4,5.0,0.46,16.0
3,2,8.8,13.4,17.0,9.0,4.0,0.43,13.0
3,3,9.0,14.6,18.8,8.8,3.0,0.27,2.0
4,1,12.8,17.1,20.7,8.4,5.0,0.53,5.0
4,2,11.6,17.1,21.4,8.4,5.0,0.5,6.0
4,3,14.5,18.9,22.7,6.3,3.0,0.3,0.0
5,1,16.0,20.1,24.1,7.0,3.0,0.25,1.0
5,2,16.3,20.4,24.2,6.5,2.0,0.2,0.0
5,3,18.6,22.4,25.5,5.6,4.0,0.39,3.0
6,1,20.3,24.8,28.9,6.3,2.0,0.23,1.0
6,2,21.4,24.9,28.3,6.1,5.0,0.45,4.0
6,3,23.2,27.5,31.4,6.6,0.0,0.03,0.0
7,1,23.5,28.1,32.3,7.5,1.0,0.08,0.0
7,2,24.2,29.3,33.3,7.5,0.0,0.03,0.0
7,3,24.8,29.4,34.5,7.1,0.0,0.0,0.0
8,1,24.2,28.6,32.5,6.4,1.0,0.08,0.0
8,2,24.1,27.5,31.8,5.9,0.0,0.03,0.0
8,3,24.4,27.1,30.1,4.9,2.0,0.2,1.0
9,1,22.1,26.5,30.0,6.5,2.0,0.24,0.0
9,2,20.3,25.0,28.9,6.5,1.0,0.1,0.0
9,3,17.8,23.5,27.7,6.8,2.0,0.2,1.0
10,1,15.4,21.6,26.4,6.6,1.0,0.08,0.0
10,2,14.7,20.1,24.0,5.8,3.0,0.25,1.0
10,3,12.5,18.3,23.3,5.3,1.0,0.09,0.0
11,1,14.0,17.7,22.3,5.6,3.0,0.28,2.0
11,2,12.8,16.3,20.0,7.0,4.0,0.4,20.0
11,3,11.0,15.3,18.4,9.4,7.0,0.7,58.0
12,1,9.9,13.7,17.2,9.5,7.0,0.69,43.0
12,2,8.9,12.9,16.9,9.0,4.0,0.43,28.0
12,3,9.9,12.9,16.4,6.7,4.0,0.39,14.0
