m,m3,coco,coco_pct
1,1,9.0,0.046
12,2,17.0,0.019
2,2,2.0,0.129
2,3,3.0,0.444
4,2,7.0,0.004
1,1,18.0,0.008
9,1,18.0,0.003
1,2,2.0,0.104
2,1,3.0,0.379
1,1,2.0,0.067
10,3,3.0,0.164
5,1,18.0,0.0
4,2,1.0,0.458
5,2,1.0,0.3
8,3,9.0,0.003
3,1,3.0,0.423
5,2,5.0,0.021
9,1,8.0,0.003
2,1,9.0,0.006
11,3,1.0,0.249
9,3,7.0,0.006
8,2,3.0,0.001
3,2,8.0,0.029
12,1,8.0,0.053
12,3,9.0,0.049
11,1,9.0,0.007
11,1,5.0,0.061
2,3,9.0,0.002
4,3,5.0,0.035
3,1,18.0,0.006
7,3,3.0,0.004
3,2,7.0,0.033
2,1,5.0,0.038
3,1,17.0,0.05
10,3,7.0,0.008
7,1,8.0,0.0
6,1,17.0,0.008
7,3,7.0,0.0
12,2,2.0,0.099
9,1,2.0,0.096
10,2,9.0,0.0
4,3,1.0,0.444
8,1,5.0,0.0
11,2,3.0,0.264
2,2,9.0,0.019
1,2,7.0,0.037
7,2,17.0,0.0
8,3,7.0,0.003
8,2,7.0,0.0
8,3,5.0,0.011
5,3,9.0,0.009
7,3,17.0,0.0
7,1,3.0,0.039
12,3,8.0,0.014
8,2,17.0,0.003
6,1,7.0,0.013
2,2,7.0,0.008
9,2,7.0,0.001
11,2,5.0,0.079
11,3,8.0,0.051
6,1,2.0,0.09
6,2,9.0,0.003
2,1,17.0,0.017
11,3,3.0,0.329
12,2,7.0,0.021
11,2,9.0,0.065
6,2,8.0,0.004
1,1,3.0,0.251
4,1,5.0,0.019
4,3,2.0,0.102
5,3,1.0,0.383
11,1,18.0,0.003
9,3,18.0,0.001
9,2,17.0,0.021
7,2,8.0,0.0
7,1,1.0,0.906
4,2,9.0,0.021
12,2,9.0,0.065
2,3,2.0,0.13
1,3,7.0,0.022
3,1,7.0,0.04
9,2,5.0,0.019
4,2,17.0,0.06
8,3,1.0,0.816
5,2,9.0,0.002
9,3,8.0,0.001
5,2,2.0,0.142
2,2,1.0,0.563
8,3,2.0,0.091
5,1,9.0,0.023
12,1,17.0,0.047
5,3,3.0,0.362
10,2,2.0,0.107
7,1,7.0,0.0
10,2,7.0,0.006
8,2,8.0,0.0
7,2,3.0,0.025
6,2,17.0,0.035
12,3,1.0,0.333
9,1,1.0,0.744
3,2,18.0,0.019
9,2,18.0,0.004
9,3,1.0,0.66
9,1,9.0,0.004
6,2,1.0,0.611
6,2,3.0,0.186
2,3,1.0,0.322
5,1,2.0,0.104
10,1,3.0,0.097
3,2,9.0,0.029
2,3,8.0,0.007
8,3,17.0,0.016
8,3,8.0,0.005
9,2,2.0,0.085
6,3,2.0,0.09
5,1,7.0,0.01
12,2,3.0,0.332
12,3,3.0,0.332
12,1,3.0,0.41
10,3,8.0,0.0
6,2,5.0,0.001
2,3,7.0,0.009
2,2,5.0,0.023
5,2,17.0,0.015
11,2,2.0,0.099
5,2,7.0,0.01
12,1,2.0,0.071
3,1,5.0,0.083
10,1,8.0,0.0
9,2,8.0,0.001
7,2,18.0,0.003
8,1,1.0,0.95
1,2,3.0,0.324
2,2,17.0,0.013
11,3,9.0,0.122
2,2,8.0,0.017
11,2,17.0,0.082
1,3,2.0,0.139
10,1,1.0,0.781
2,3,17.0,0.014
10,1,2.0,0.1
9,2,3.0,0.085
12,1,18.0,0.019
1,1,5.0,0.174
6,1,3.0,0.244
7,3,2.0,0.005
6,2,18.0,0.008
4,1,1.0,0.304
6,3,1.0,0.872
4,2,2.0,0.129
2,3,5.0,0.072
12,2,5.0,0.061
11,3,5.0,0.037
4,3,17.0,0.025
4,3,3.0,0.35
1,1,7.0,0.039
11,1,7.0,0.003
7,2,5.0,0.0
4,3,9.0,0.006
1,1,17.0,0.025
10,2,5.0,0.036
11,2,18.0,0.014
9,1,3.0,0.119
10,1,9.0,0.0
11,3,7.0,0.043
9,3,17.0,0.028
8,2,5.0,0.004
11,2,7.0,0.019
5,2,3.0,0.5
3,1,8.0,0.019
11,1,8.0,0.01
7,1,17.0,0.007
1,2,9.0,0.065
10,2,3.0,0.265
4,1,7.0,0.019
7,3,8.0,0.0
1,3,8.0,0.033
10,1,5.0,0.018
6,3,3.0,0.036
5,3,18.0,0.019
2,1,2.0,0.102
11,3,17.0,0.056
4,2,8.0,0.013
5,3,17.0,0.044
3,2,17.0,0.042
3,1,2.0,0.104
10,3,17.0,0.0
3,3,2.0,0.112
3,3,17.0,0.034
3,2,3.0,0.479
11,1,1.0,0.529
8,1,17.0,0.008
10,2,17.0,0.001
1,3,18.0,0.004
10,3,5.0,0.043
5,1,17.0,0.008
6,1,9.0,0.025
6,3,5.0,0.0
10,3,1.0,0.692
2,2,18.0,0.0
10,3,18.0,0.0
6,2,2.0,0.145
6,3,8.0,0.0
11,1,17.0,0.018
8,1,2.0,0.036
3,3,18.0,0.009
4,1,2.0,0.121
10,1,17.0,0.004
1,2,17.0,0.049
11,3,2.0,0.099
6,3,17.0,0.001
2,2,3.0,0.229
5,3,5.0,0.03
5,3,8.0,0.025
2,3,18.0,0.0
9,2,9.0,0.007
10,1,7.0,0.0
5,3,2.0,0.108
12,3,5.0,0.117
12,3,18.0,0.008
4,3,18.0,0.013
9,2,1.0,0.777
6,1,5.0,0.029
7,2,2.0,0.026
3,1,1.0,0.244
9,1,17.0,0.02
3,3,8.0,0.008
12,3,2.0,0.119
2,1,1.0,0.415
12,1,9.0,0.078
2,1,7.0,0.021
9,3,2.0,0.105
1,2,1.0,0.247
7,3,9.0,0.0
3,3,5.0,0.059
3,3,3.0,0.252
5,1,8.0,0.023
3,3,9.0,0.002
5,3,7.0,0.021
3,3,7.0,0.008
10,3,2.0,0.093
7,2,1.0,0.946
7,1,5.0,0.003
4,2,18.0,0.006
7,1,9.0,0.0
5,1,5.0,0.008
8,1,3.0,0.006
2,1,8.0,0.021
9,1,5.0,0.01
1,2,8.0,0.064
4,2,3.0,0.288
6,3,9.0,0.0
11,3,18.0,0.014
6,1,18.0,0.002
5,2,18.0,0.004
12,2,8.0,0.04
5,1,1.0,0.41
8,3,18.0,0.001
10,3,9.0,0.0
4,1,18.0,0.01
1,3,1.0,0.382
7,2,7.0,0.0
8,1,8.0,0.0
8,2,9.0,0.0
9,1,7.0,0.0
1,1,8.0,0.035
7,3,18.0,0.0
2,1,18.0,0.002
1,3,9.0,0.032
1,1,1.0,0.355
7,3,1.0,0.99
3,3,1.0,0.517
10,2,8.0,0.003
9,3,9.0,0.001
7,3,5.0,0.001
8,3,3.0,0.055
6,1,8.0,0.019
4,2,5.0,0.021
3,2,2.0,0.121
4,3,7.0,0.015
10,1,18.0,0.0
6,3,7.0,0.0
10,2,1.0,0.582
11,2,1.0,0.346
7,2,9.0,0.0
9,3,5.0,0.014
3,1,9.0,0.031
8,1,18.0,0.0
12,2,1.0,0.358
6,1,1.0,0.571
3,2,1.0,0.229
1,3,5.0,0.11
12,1,1.0,0.142
1,2,18.0,0.008
12,3,7.0,0.019
8,1,9.0,0.0
4,1,8.0,0.038
8,2,18.0,0.0
8,2,1.0,0.957
12,1,7.0,0.04
7,1,18.0,0.001
1,3,3.0,0.257
12,3,17.0,0.009
9,3,3.0,0.183
6,2,7.0,0.007
11,2,8.0,0.032
8,2,2.0,0.035
4,1,17.0,0.05
4,1,9.0,0.027
11,1,3.0,0.283
1,3,17.0,0.021
8,1,7.0,0.0
11,1,2.0,0.086
4,3,8.0,0.01
5,2,8.0,0.006
3,2,5.0,0.019
4,1,3.0,0.413
6,3,18.0,0.0
5,1,3.0,0.413
1,2,5.0,0.101
12,2,18.0,0.006
7,1,2.0,0.044
10,2,18.0,0.0
12,1,5.0,0.14
