m,coco,coco_pct
9,2.0,0.222
8,4.0,0.0
2,27.0,0.0
1,26.0,0.002
2,5.0,0.002
9,25.0,0.009
9,4.0,0.001
2,9.0,0.0
8,1.0,0.83
12,22.0,0.0
11,3.0,0.196
10,26.0,0.0
8,7.0,0.0
4,9.0,0.0
2,4.0,0.033
1,17.0,0.057
6,23.0,0.001
6,4.0,0.003
7,5.0,0.0
3,22.0,0.0
7,4.0,0.0
11,9.0,0.0
1,1.0,0.263
1,2.0,0.159
2,22.0,0.0
4,25.0,0.011
1,25.0,0.067
4,8.0,0.0
12,27.0,0.0
6,9.0,0.0
12,7.0,0.001
7,26.0,0.0
10,17.0,0.007
11,18.0,0.081
7,7.0,0.0
11,17.0,0.022
3,7.0,0.0
7,8.0,0.0
2,7.0,0.001
7,18.0,0.0
8,25.0,0.0
5,1.0,0.393
8,2.0,0.162
2,18.0,0.066
7,1.0,0.866
5,17.0,0.005
9,9.0,0.0
6,8.0,0.0
3,3.0,0.252
7,25.0,0.0
11,22.0,0.0
4,1.0,0.334
11,25.0,0.056
1,18.0,0.132
4,7.0,0.0
8,5.0,0.0
12,8.0,0.0
1,27.0,0.0
6,2.0,0.308
9,17.0,0.001
4,17.0,0.011
10,23.0,0.001
4,5.0,0.0
2,1.0,0.382
3,17.0,0.025
12,26.0,0.0
12,2.0,0.199
6,17.0,0.003
5,26.0,0.0
2,17.0,0.035
1,3.0,0.278
8,26.0,0.0
6,27.0,0.0
7,9.0,0.0
3,25.0,0.024
10,22.0,0.0
3,27.0,0.0
2,2.0,0.219
9,23.0,0.001
5,2.0,0.334
5,23.0,0.0
4,4.0,0.043
7,23.0,0.0
5,25.0,0.011
8,23.0,0.0
4,27.0,0.0
3,18.0,0.062
6,18.0,0.005
6,1.0,0.592
1,4.0,0.04
7,27.0,0.0
8,9.0,0.0
11,4.0,0.019
3,23.0,0.0
4,3.0,0.269
6,7.0,0.0
1,9.0,0.0
12,9.0,0.0
4,2.0,0.297
6,25.0,0.006
5,18.0,0.014
7,17.0,0.001
8,27.0,0.0
2,26.0,0.0
9,3.0,0.054
8,17.0,0.0
9,27.0,0.0
12,1.0,0.254
10,1.0,0.554
11,26.0,0.0
11,23.0,0.002
6,26.0,0.0
9,18.0,0.006
8,3.0,0.008
1,8.0,0.0
10,7.0,0.0
9,26.0,0.0
10,8.0,0.0
12,23.0,0.002
5,9.0,0.0
10,3.0,0.107
12,3.0,0.253
7,3.0,0.007
1,5.0,0.002
9,1.0,0.705
7,22.0,0.0
3,1.0,0.313
11,27.0,0.004
10,5.0,0.001
4,23.0,0.0
12,4.0,0.029
5,27.0,0.0
10,25.0,0.021
10,27.0,0.002
9,7.0,0.0
11,7.0,0.001
2,23.0,0.001
11,1.0,0.368
8,18.0,0.0
3,9.0,0.0
11,2.0,0.249
6,22.0,0.0
5,3.0,0.219
9,5.0,0.0
4,18.0,0.033
3,2.0,0.285
12,17.0,0.049
8,8.0,0.0
12,25.0,0.08
10,4.0,0.007
5,5.0,0.0
10,18.0,0.03
3,5.0,0.002
7,2.0,0.126
6,5.0,0.0
3,8.0,0.0
3,26.0,0.0
1,7.0,0.001
1,23.0,0.001
11,5.0,0.002
2,25.0,0.029
8,22.0,0.0
4,22.0,0.0
5,22.0,0.0
9,8.0,0.0
10,2.0,0.272
12,5.0,0.005
4,26.0,0.0
6,3.0,0.082
2,8.0,0.0
9,22.0,0.0
1,22.0,0.0
5,7.0,0.0
12,18.0,0.13
2,3.0,0.232
5,4.0,0.024
5,8.0,0.0
3,4.0,0.037
10,9.0,0.0
11,8.0,0.0
